"","taxon","link_direction","taxa_type","MH","WU","all","GM","PP","RG","NH","W","C","LP","RGyard","LU","NL","CSF","ST"
"1","01PLANT.Ash","lower","01PLANT",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","01PLANT.Autumn Hawkbit","lower","01PLANT",0,0,0.172413793103448,0.0689655172413793,0.758620689655172,0,0,0,0,0,0,0,0,0,0
"3","01PLANT.Bindweed sp","lower","01PLANT",0.117647058823529,0,0,0.352941176470588,0,0.529411764705882,0,0,0,0,0,0,0,0,0
"4","01PLANT.Black Bindweed","lower","01PLANT",0,0,0.785714285714286,0,0,0,0.214285714285714,0,0,0,0,0,0,0,0
"5","01PLANT.Blackthorn","lower","01PLANT",0.476190476190476,0.261904761904762,0.142857142857143,0,0,0,0.0952380952380952,0.0238095238095238,0,0,0,0,0,0,0
"6","01PLANT.Bluebell","lower","01PLANT",0.142857142857143,0.571428571428571,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0
"7","01PLANT.Bramble","lower","01PLANT",0.513157894736842,0.0789473684210526,0.0592105263157895,0,0,0.171052631578947,0.0394736842105263,0.138157894736842,0,0,0,0,0,0,0
"8","01PLANT.Bristly Oxtongue","lower","01PLANT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9","01PLANT.Bugle","lower","01PLANT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10","01PLANT.Bush Vetch","lower","01PLANT",0,0,0.583333333333333,0,0,0.166666666666667,0.25,0,0,0,0,0,0,0,0
"11","01PLANT.Charlock","lower","01PLANT",0,0,0.11864406779661,0.0677966101694915,0.0338983050847458,0.0508474576271186,0,0,0.711864406779661,0.0169491525423729,0,0,0,0,0
"12","01PLANT.Chenopodium sp","lower","01PLANT",0.189189189189189,0,0.297297297297297,0,0,0,0.162162162162162,0,0,0,0.351351351351351,0,0,0,0
"13","01PLANT.Cleavers","lower","01PLANT",0.25,0.166666666666667,0.333333333333333,0,0,0.0833333333333333,0,0.166666666666667,0,0,0,0,0,0,0
"14","01PLANT.Clover sp","lower","01PLANT",0.0110497237569061,0,0.0441988950276243,0.154696132596685,0.176795580110497,0.171270718232044,0.0110497237569061,0,0.0331491712707182,0.209944751381215,0.0165745856353591,0.0331491712707182,0.138121546961326,0,0
"15","01PLANT.Common Bird's-foot-trefoil","lower","01PLANT",0.25,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0
