Insect species,Plant species,Pollen grains
Anaspis maculata,Clematis vitalba,1
Anaspis maculata,Galium mollugo,1
Anaspis maculata,Matricaria recutita,2
Anaspis maculata,Ranunculus repens,1
Anaspis maculata,Rubus type,33
Anaspis pulicaria,Cirsium type,1
Anaspis pulicaria,Clematis vitalba,3
Anaspis pulicaria,Matricaria recutita,2
Anaspis pulicaria,Odontites vernus,2
Anaspis pulicaria,Papaver rhoeas,1
Anaspis pulicaria,Ranunculus repens,3
Anaspis pulicaria,Rubus type,20
Anaspis pulicaria,Sherardia arvensis,1
Anaspis pulicaria,Torilis arvensis,1
Anaspis pulicaria,Valerianella sp.,1
Andrena bicolor,Anthriscus sylvestris,16
Andrena bicolor,Daucus carota,4
Andrena bicolor,Lamium album,14
Andrena bicolor,Matricaria recutita,1
Andrena bicolor,Picris type,578
Andrena bicolor,Ranunculus repens,2
Andrena bicolor,Sherardia arvensis,2
Andrena bicolor,Tilia cordata,1
Andrena bicolor,Tripleurospermum inodorum,3
Andrena bicolor,Valerianella sp.,5
Andrena saundersecia,Daucus carota,1
Andrena saundersecia,Odontites vernus,57
Andrena saundersecia,Picris type,1
Andrena saundersecia,Ranunculus repens,5
Andrena saundersecia,Rubus type,9
Andrena saundersecia,Stachys sylvatica,29
Andrena saundersecia,Tilia cordata,1
Andrena saundersecia,Torilis arvensis,91
Andrena trimmerana,Convolvulus arvensis,1
Andrena trimmerana,Malva type,1
Andrena trimmerana,Rubus type,89
Andrena trimmerana,Vicia parviflora,5
Aphantopus hyperantus,Papaver rhoeas,1
Aphantopus hyperantus,Rubus type,1
Aphantopus hyperantus,Stachys sylvatica,1
Aphantopus hyperantus,Torilis arvensis,1
Apis mellifera,Aethusa cynapium,30
Apis mellifera,Alisma type,34
Apis mellifera,Calystegia sepium,52
Apis mellifera,Cirsium type,176
Apis mellifera,Clematis vitalba,7
Apis mellifera,Convolvulus arvensis,4
Apis mellifera,Daucus carota,2
Apis mellifera,Epilobium tetragonum,4
Apis mellifera,Galium mollugo,4
Apis mellifera,Geranium type,1
Apis mellifera,Lamium album,19
Apis mellifera,Matricaria recutita,2
Apis mellifera,Odontites vernus,11
Apis mellifera,Picris type,14
Apis mellifera,Ranunculus repens,6
Apis mellifera,Rubus type,4886
Apis mellifera,Stachys sylvatica,4
Apis mellifera,Tilia cordata,1
Apis mellifera,Torilis arvensis,2
Apis mellifera,unknown,1
Apis mellifera,Vicia parviflora,1
Bombus lapidarius,Aethusa cynapium,1
Bombus lapidarius,Cirsium type,6
Bombus lapidarius,Clematis vitalba,9
Bombus lapidarius,Daucus carota,3
Bombus lapidarius,Galium mollugo,12
Bombus lapidarius,Knautia arvensis,1
Bombus lapidarius,Lamium album,25
Bombus lapidarius,Matricaria recutita,9
Bombus lapidarius,Odontites vernus,6229
Bombus lapidarius,Papaver rhoeas,5
Bombus lapidarius,Picris type,173
Bombus lapidarius,Ranunculus repens,18
Bombus lapidarius,Stachys sylvatica,3
Bombus lapidarius,Tilia cordata,7
Bombus lapidarius,Torilis arvensis,10
Bombus lapidarius,unknown,2
Bombus lapidarius,Vicia parviflora,1781
Bombus lucorum,Cirsium type,1
Bombus lucorum,Clematis vitalba,2
Bombus lucorum,Epilobium tetragonum,1
Bombus lucorum,Galium mollugo,5
Bombus lucorum,Lamium album,21
Bombus lucorum,Matricaria recutita,2
Bombus lucorum,Odontites vernus,7506
Bombus lucorum,Papaver rhoeas,7
Bombus lucorum,Picris type,6
Bombus lucorum,Ranunculus repens,10
Bombus lucorum,Rubus type,7174
Bombus lucorum,Stachys sylvatica,7
Bombus lucorum,Tilia cordata,3491
Bombus lucorum,Torilis arvensis,4
Bombus pascuorum,Aethusa cynapium,2
Bombus pascuorum,Arctium minus,3
Bombus pascuorum,Cirsium type,28
Bombus pascuorum,Clematis vitalba,4
Bombus pascuorum,Euphorbia type,1
Bombus pascuorum,Knautia arvensis,5
Bombus pascuorum,Matricaria recutita,5
Bombus pascuorum,Odontites vernus,728
Bombus pascuorum,Picris type,84
Bombus pascuorum,Stachys sylvatica,1
Bombus pascuorum,Tilia cordata,1
Bombus pascuorum,Torilis arvensis,3
Bombus pascuorum,Vicia parviflora,790
Bombus terrestris,Aethusa cynapium,13
Bombus terrestris,Odontites vernus,5436
Bombus terrestris,Picris type,1
Bombus terrestris,Ranunculus repens,7
Bombus terrestris,Rubus type,273
Bombus terrestris,Tilia cordata,841
Bombus terrestris,Torilis arvensis,5
Cantharis lateralis,Clematis vitalba,29
Cantharis lateralis,Galium mollugo,2
Cantharis lateralis,Papaver rhoeas,3
Cantharis lateralis,Ranunculus repens,2
Cantharis lateralis,Sinapis arvensis,1
Cantharis lateralis,Tilia cordata,1
Cheilosia pagana,Aethusa cynapium,6
Cheilosia pagana,Matricaria recutita,1
Cheilosia pagana,Picris type,35
Cheilosia pagana,Ranunculus repens,58
Chloromyia formosa,Papaver rhoeas,1
Chloromyia formosa,Ranunculus repens,1
Chloromyia formosa,Rubus type,3
Chloromyia formosa,Stachys sylvatica,377
Chloromyia formosa,Tilia cordata,16
Chloromyia formosa,Torilis arvensis,59
Chrysotoxum festivum,Anthriscus sylvestris,1
Chrysotoxum festivum,Clematis vitalba,1
Chrysotoxum festivum,Lamium album,8
Chrysotoxum festivum,Ranunculus repens,3
Chrysotoxum festivum,Rubus type,12
Chrysotoxum festivum,Stachys sylvatica,1
Chrysotoxum festivum,Tilia cordata,1
Chrysotoxum festivum,Torilis arvensis,4
Chrysotoxum festivum,Tripleurospermum inodorum,1
Chrysotoxum festivum,Valerianella sp.,1
Dolichopus sp.,Lamium album,1
Dolichopus sp.,Picris type,2
Dolichopus sp.,Torilis arvensis,1
