"management","services_to","tot","Prop_mean","ind_shuff_mean","ind_shuff_sd","n","z","signif"
"SE","Crop production",1084,0.96014171833481,0.206359610274579,0.00440677534263376,500,171.050722910173,"above"
"M","Crop production",957,0.847652790079717,0.187199291408326,0.00626907725953675,500,105.350990477376,"above"
"SI","Crop production",864,0.765279007971656,0.181426040744021,0.00699194371064186,500,83.5036709948052,"above"
"I","Crop production",793,0.702391496899911,0.180471213463242,0.00731295003405965,500,71.3693216835689,"above"
"IM","Crop production",92,0.0814880425155004,0.0763773250664305,0.00277233569045017,500,1.84346991840664,"not signif"
"SE","Pollination",13586,0.725244221427428,0.635636897453691,0.0239374278775125,500,3.74339818096814,"above"
"SE","Crop damage",8645,0.865192153722978,0.573232586068855,0.0107037121707934,500,27.2764778233458,"above"
"SE","Pest control",2584,0.789731051344743,0.731733496332518,0.0199218595843363,500,2.91125207296542,"above"
"SE","Butterfly watching",2860,0.813655761024182,0.635130014224751,0.0194480760206472,500,9.17960967500835,"above"
"SE","Bird watching",5139,0.882989690721649,0.576972508591065,0.0106504709300574,500,28.7327371850715,"above"
"SE","Seed dispersal",3755,0.888967803030303,0.587705965909091,0.0095304699547425,500,31.6103863242651,"above"
"M","Pollination",7706,0.411359632733679,0.456630011210164,0.0306496291051454,500,-1.47702859049885,"not signif"
"M","Crop damage",6194,0.619895916733387,0.458285628502802,0.0192755159879199,500,8.38422630719025,"above"
"M","Pest control",1676,0.512224938875306,0.570829462102689,0.030249694141473,500,-1.93735919951124,"not signif"
"M","Butterfly watching",1678,0.477382645803698,0.470105263157895,0.0365607315165245,500,0.199049153119776,"not signif"
"M","Bird watching",3602,0.618900343642612,0.452260481099656,0.0206708686246336,500,8.06158007043641,"above"
"M","Seed dispersal",2737,0.647964015151515,0.475721590909091,0.0188197960165442,500,9.15219400311292,"above"
"SI","Pollination",4478,0.239043399348743,0.401777398174345,0.0374908103666935,500,-4.34063700501319,"below"
"SI","Crop damage",4969,0.497297838270616,0.428814451561249,0.0209853907126641,500,3.26338392489589,"above"
"SI","Pest control",935,0.285757946210269,0.502704767726161,0.041029703744116,500,-5.28755515440455,"below"
"SI","Butterfly watching",942,0.267994310099573,0.419478236130868,0.0435120501877006,500,-3.48142469448875,"below"
"SI","Bird watching",2873,0.493642611683849,0.422015120274914,0.0220038738558529,500,3.25522187039271,"above"
"SI","Seed dispersal",2204,0.521780303030303,0.444050189393939,0.0215344607347162,500,3.60956861627154,"above"
"I","Pollination",2209,0.11792024769124,0.375521913201303,0.0398624156862788,500,-6.46226930995385,"below"
"I","Crop damage",4130,0.413330664531625,0.418507005604484,0.0218120217377098,500,-0.237315968923188,"not signif"
"I","Pest control",641,0.195904645476773,0.486221271393643,0.0426675256072427,500,-6.80415894254692,"below"
"I","Butterfly watching",574,0.163300142247511,0.399095305832148,0.0447248398641912,500,-5.27212985671137,"below"
"I","Bird watching",2404,0.413058419243986,0.412361512027491,0.0227128690194524,500,0.0306833635107032,"not signif"
"I","Seed dispersal",1828,0.432765151515151,0.433394412878788,0.0227444459731376,500,-0.0276665944899067,"not signif"
"IM","Pollination",66,0.00352319436288902,0.00272246837132333,0,500,Inf,"above"
"IM","Crop damage",200,0.0200160128102482,0.00739591673338671,0.000217601193105192,500,57.9964470634163,"above"
"IM","Pest control",235,0.0718215158924205,0.0809486552567237,0.00879976732202579,500,-1.03720235209606,"not signif"
"IM","Butterfly watching",33,0.00938833570412518,0.00768136557610242,0,500,Inf,"above"
"IM","Bird watching",98,0.0168384879725086,0.00481099656357388,0,500,Inf,"above"
"IM","Seed dispersal",70,0.0165719696969697,0.00473484848484848,0,500,Inf,"above"
