"node_from","node_to","management"
11,105,"E"
77,317,"E"
77,202,"E"
78,123,"E"
26,183,"E"
20,123,"E"
20,126,"E"
26,318,"E"
76,276,"E"
26,144,"E"
76,322,"E"
20,279,"E"
61,278,"E"
61,190,"E"
61,318,"E"
61,186,"E"
61,282,"E"
61,203,"E"
61,317,"E"
26,232,"E"
61,232,"E"
61,276,"E"
95,295,"E"
95,112,"E"
95,126,"E"
11,232,"E"
61,343,"E"
99,358,"E"
11,349,"E"
28,363,"E"
98,358,"E"
78,348,"E"
77,348,"E"
66,354,"E"
38,343,"E"
97,358,"E"
44,357,"E"
19,354,"E"
44,358,"E"
97,351,"E"
26,361,"E"
33,341,"E"
28,344,"E"
358,376,"E"
358,377,"E"
358,368,"E"
343,367,"E"
358,367,"E"
358,378,"E"
358,374,"E"
358,369,"E"
358,365,"E"
358,381,"E"
358,380,"E"
361,374,"E"
358,370,"E"
341,381,"E"
343,377,"E"
343,380,"E"
343,376,"E"
361,372,"E"
26,445,"E"
26,438,"E"
26,422,"E"
26,467,"E"
26,470,"E"
98,470,"E"
28,470,"E"
28,421,"E"
28,439,"E"
98,445,"E"
19,469,"E"
99,412,"E"
77,417,"E"
77,445,"E"
26,421,"E"
77,470,"E"
77,471,"E"
26,437,"E"
26,447,"E"
44,467,"E"
26,415,"E"
14,421,"E"
86,410,"E"
64,463,"E"
64,445,"E"
64,435,"E"
77,425,"E"
77,422,"E"
64,438,"E"
64,447,"E"
17,410,"E"
17,421,"E"
77,467,"E"
28,445,"E"
26,455,"E"
11,469,"E"
94,445,"E"
77,458,"E"
11,440,"E"
11,419,"E"
94,429,"E"
11,445,"E"
94,457,"E"
94,438,"E"
44,433,"E"
26,441,"E"
28,389,"E"
26,397,"E"
26,465,"E"
14,430,"E"
77,455,"E"
96,445,"E"
17,467,"E"
96,438,"E"
95,469,"E"
95,445,"E"
95,422,"E"
95,438,"E"
44,438,"E"
44,425,"E"
26,401,"E"
26,469,"E"
26,389,"E"
26,394,"E"
26,390,"E"
28,433,"E"
26,425,"E"
26,426,"E"
14,482,"E"
14,483,"E"
14,486,"E"
482,534,"E"
483,534,"E"
486,534,"E"
482,540,"E"
483,540,"E"
486,540,"E"
4,508,"E"
5,508,"E"
7,508,"E"
11,508,"E"
12,508,"E"
14,508,"E"
30,508,"E"
33,508,"E"
36,508,"E"
39,508,"E"
44,508,"E"
47,508,"E"
49,508,"E"
57,508,"E"
59,508,"E"
67,508,"E"
72,508,"E"
80,508,"E"
82,508,"E"
99,508,"E"
11,326,"E"
77,259,"E"
78,308,"E"
11,179,"E"
11,164,"E"
11,141,"E"
47,179,"E"
61,179,"E"
47,193,"E"
76,179,"E"
26,166,"E"
26,228,"E"
26,179,"E"
38,179,"E"
26,198,"E"
61,128,"E"
61,264,"E"
61,244,"E"
61,303,"E"
61,164,"E"
20,164,"E"
61,247,"E"
61,196,"E"
28,131,"E"
61,259,"E"
28,244,"E"
11,259,"E"
61,138,"E"
62,259,"E"
61,248,"E"
47,138,"E"
26,237,"E"
61,286,"E"
61,209,"E"
61,285,"E"
26,164,"E"
24,181,"E"
61,249,"E"
61,302,"E"
61,252,"E"
61,250,"E"
61,173,"E"
61,132,"E"
95,196,"E"
17,223,"E"
11,249,"E"
11,255,"E"
26,142,"E"
11,143,"E"
11,138,"E"
11,222,"E"
11,158,"E"
