"management","services_to","tot","Prop_mean","ind_shuff_mean","ind_shuff_sd","n","z","signif"
"SE","Crop production",1093,0.967256637168142,0.993286093888397,0.00451218934670248,500,-5.76869779174441,"below"
"M","Crop production",961,0.850442477876106,0.955787422497786,0.0124344432809213,500,-8.47202743554386,"below"
"SI","Crop production",865,0.765486725663717,0.947583702391497,0.0138031090220179,500,-13.1924609475524,"below"
"I","Crop production",794,0.702654867256637,0.946790079716563,0.0139881626072902,500,-17.4529864510362,"below"
"IN","Crop production",93,0.0823008849557522,0.0928963684676705,0.00246182235140212,500,-4.30391880465447,"below"
"SE","Pollination",17172,0.916671115144398,0.94430438264026,0.0267139399082923,500,-1.03441377762796,"not signif"
"SE","Crop damage",9711,0.971877502001601,0.973936148919135,0.0116776869997954,500,-0.176288927556463,"not signif"
"SE","Pest control",2869,0.876833740831296,0.958619193154034,0.019459475559846,500,-4.20286004477428,"below"
"SE","Butterfly watching",3339,0.949928876244666,0.96298093883357,0.0207618507320016,500,-0.628656026737861,"not signif"
"SE","Bird watching",5648,0.970446735395189,0.977574570446735,0.00907358230872849,500,-0.785559088904677,"not signif"
"SE","Seed dispersal",4125,0.9765625,0.978474431818182,0.0083967908638422,500,-0.22769792045374,"not signif"
"M","Pollination",8427,0.449847862061603,0.789373618747665,0.0450573761762261,500,-7.53540897184351,"below"
"M","Crop damage",6563,0.656825460368295,0.88805384307446,0.0202522729189014,500,-11.4174040430968,"below"
"M","Pest control",1795,0.54859413202934,0.834619804400978,0.0359248851857397,500,-7.96176997902211,"below"
"M","Butterfly watching",1903,0.541394025604552,0.8326213371266,0.0567008175571578,500,-5.13621009482753,"below"
"M","Bird watching",3813,0.655154639175258,0.884203092783505,0.0211533196623681,500,-10.8280145747396,"below"
"M","Seed dispersal",2899,0.686316287878788,0.89613446969697,0.0193772896960777,500,-10.8280458778842,"below"
"SI","Pollination",5506,0.293919820637378,0.74870506592644,0.0513555689754868,500,-8.85561691481096,"below"
"SI","Crop damage",5213,0.521717373899119,0.867213170536429,0.022514055957012,500,-15.3457820881761,"below"
"SI","Pest control",1011,0.30898533007335,0.784837408312958,0.0464534499419691,500,-10.2436326867877,"below"
"SI","Butterfly watching",1269,0.361024182076814,0.793893029871977,0.063905825535103,500,-6.77354285263699,"below"
"SI","Bird watching",3009,0.517010309278351,0.862377663230241,0.0241464309667743,500,-14.3030394192466,"below"
"SI","Seed dispersal",2324,0.550189393939394,0.874140151515152,0.0225754317425193,500,-14.3497037518719,"below"
"I","Pollination",2581,0.137778252282069,0.727550632573533,0.0546051193037975,500,-10.800679273499,"below"
"I","Crop damage",4287,0.42904323458767,0.860897518014412,0.0231837375713871,500,-18.627466002709,"below"
"I","Pest control",675,0.206295843520782,0.775612469437653,0.0471793065052912,500,-12.0670833907451,"below"
"I","Butterfly watching",631,0.179516358463727,0.779411095305832,0.0645556304287086,500,-9.29267877733134,"below"
"I","Bird watching",2494,0.428522336769759,0.856386254295533,0.0250156014298238,500,-17.1038828998798,"below"
"I","Seed dispersal",1903,0.450520833333333,0.867557291666667,0.0236723092129473,500,-17.6170585886585,"below"
"IN","Pollination",66,0.00352319436288902,0.00352319436288902,0,500,NA,"not signif"
"IN","Crop damage",200,0.0200160128102482,0.0208212570056045,0.000180432581109193,500,-4.46285360662759,"below"
"IN","Pest control",235,0.0718215158924205,0.101278728606357,0.00834899939559349,500,-3.5282327040871,"below"
"IN","Butterfly watching",33,0.00938833570412518,0.00938833570412518,0,500,NA,"not signif"
"IN","Bird watching",98,0.0168384879725086,0.0168384879725086,0,500,NA,"not signif"
"IN","Seed dispersal",70,0.0165719696969697,0.0165719696969697,0,500,NA,"not signif"
