"management","services_from","node_from","node_to","taxon_from","services_to","weight","hop","type"
"E","Pollination",519,32,"Butterfly","None",0.000110218143339482,1,"I"
"E","Pollination",524,32,"Butterfly","None",2.80421512527551e-05,1,"I"
"E","Pollination",514,95,"Butterfly","Crop production",0.0166778684844365,1,"I"
"E","Pollination",516,91,"Butterfly","None",2.74904789421306e-05,1,"I"
"E","Pollination",516,95,"Butterfly","Crop production",0.0139778416585511,1,"I"
"E","Pollination",517,61,"Butterfly","None",0.0432818633488273,1,"I"
"E","Pollination",523,14,"Butterfly","None",0.00159980407260461,1,"I"
"E","Pollination",523,95,"Butterfly","Crop production",0.00851547670280252,1,"I"
"E","Pollination",513,14,"Butterfly","None",0.00874711280517028,1,"I"
"E","Pollination",513,28,"Butterfly","None",0.0127880245624667,1,"I"
"E","Pollination",514,26,"Butterfly","None",0.012405942861049,1,"I"
"E","Pollination",514,28,"Butterfly","None",0.0045807555047717,1,"I"
"E","Pollination",516,28,"Butterfly","None",0.00383916417028866,1,"I"
"E","Pollination",517,26,"Butterfly","None",0.273596031270953,1,"I"
"E","Pollination",517,28,"Butterfly","None",0.101022271371492,1,"I"
"E","Pollination",519,28,"Butterfly","None",0.00661425802364042,1,"I"
"E","Pollination",523,28,"Butterfly","None",0.00233886703318944,1,"I"
"E","Pollination",523,61,"Butterfly","None",0.00100206144592934,1,"I"
"E","Pollination",525,11,"Butterfly","None",0.000749546281147112,1,"I"
"E","Pollination",525,14,"Butterfly","None",0.0055260737021208,1,"I"
"E","Pollination",525,26,"Butterfly","None",0.0218800379887784,1,"I"
"E","Pollination",525,28,"Butterfly","None",0.00807895905891961,1,"I"
"E","Pollination",522,26,"Butterfly","None",0.00409816882530412,1,"I"
"E","Crop damage",495,4,"Seed-feeding bird","None",8.57983335371139e-06,1,"I"
"E","Crop damage",496,4,"Seed-feeding bird","None",5.10798184333035e-05,1,"I"
"E","Crop damage",497,4,"Seed-feeding bird","None",7.42383547113729e-06,1,"I"
"E","Crop damage",498,4,"Seed-feeding bird","None",0.00017603021273351,1,"I"
"E","Crop damage",499,4,"Seed-feeding bird","None",1.81962757055946e-05,1,"I"
"E","Crop damage",500,4,"Seed-feeding bird","None",4.60523116751566e-05,1,"I"
"E","Crop damage",501,4,"Seed-feeding bird","None",5.6398265462779e-05,1,"I"
"E","Crop damage",502,4,"Seed-feeding bird","None",1.55904546423831e-05,1,"I"
"E","Crop damage",503,4,"Seed-feeding bird","None",2.08910406974854e-05,1,"I"
"E","Crop damage",504,4,"Seed-feeding bird","None",2.16316053693381e-05,1,"I"
"E","Crop damage",505,4,"Seed-feeding bird","None",1.00577228706068e-05,1,"I"
"E","Crop damage",496,5,"Seed-feeding bird","None",0.000595931215055207,1,"I"
"E","Crop damage",497,5,"Seed-feeding bird","None",8.6611413829935e-05,1,"I"
"E","Crop damage",498,5,"Seed-feeding bird","None",0.00205368581522428,1,"I"
"E","Crop damage",499,5,"Seed-feeding bird","None",0.000212289883231937,1,"I"
"E","Crop damage",501,5,"Seed-feeding bird","None",0.000657979763732421,1,"I"
"E","Crop damage",504,5,"Seed-feeding bird","None",0.000252368729308945,1,"I"
"E","Crop damage",496,7,"Seed-feeding bird","None",0.00577511522953501,1,"I"
"E","Crop damage",497,7,"Seed-feeding bird","None",0.000839343337661007,1,"I"
"E","Crop damage",498,7,"Seed-feeding bird","None",0.019902082536628,1,"I"
"E","Crop damage",499,7,"Seed-feeding bird","None",0.0020572819593204,1,"I"
"E","Crop damage",500,7,"Seed-feeding bird","None",0.00520670226848513,1,"I"
"E","Crop damage",501,7,"Seed-feeding bird","None",0.00637642207398874,1,"I"
"E","Crop damage",502,7,"Seed-feeding bird","None",0.00176266625062823,1,"I"
"E","Crop damage",503,7,"Seed-feeding bird","None",0.00236195372249448,1,"I"
"E","Crop damage",504,7,"Seed-feeding bird","None",0.00244568241312123,1,"I"
"E","Crop damage",496,8,"Seed-feeding bird","None",1.85744794302922e-05,1,"I"
"E","Crop damage",497,8,"Seed-feeding bird","None",2.69957653495901e-06,1,"I"
"E","Crop damage",498,8,"Seed-feeding bird","None",6.4010986448549e-05,1,"I"
"E","Crop damage",499,8,"Seed-feeding bird","None",6.61682752930711e-06,1,"I"
"E","Crop damage",501,8,"Seed-feeding bird","None",2.05084601682833e-05,1,"I"
"E","Crop damage",504,8,"Seed-feeding bird","None",7.86603831612295e-06,1,"I"
"E","Crop damage",505,8,"Seed-feeding bird","None",3.65735377112976e-06,1,"I"
"E","Crop damage",497,11,"Seed-feeding bird","None",0.00023610046445329,1,"I"
"E","Crop damage",499,11,"Seed-feeding bird","None",0.000578696707667318,1,"I"
"E","Crop damage",500,11,"Seed-feeding bird","None",0.0014646030637296,1,"I"
"E","Crop damage",501,11,"Seed-feeding bird","None",0.00179363574555111,1,"I"
"E","Crop damage",502,11,"Seed-feeding bird","None",0.00049582370142973,1,"I"
"E","Crop damage",504,11,"Seed-feeding bird","None",0.000687950601064253,1,"I"
"E","Crop damage",505,11,"Seed-feeding bird","None",0.00031986606523339,1,"I"
"E","Crop damage",495,12,"Seed-feeding bird","None",4.64090985950752e-05,1,"I"
"E","Crop damage",496,12,"Seed-feeding bird","None",0.000276295381525596,1,"I"
"E","Crop damage",497,12,"Seed-feeding bird","None",4.01562009575153e-05,1,"I"
"E","Crop damage",498,12,"Seed-feeding bird","None",0.000952163423422166,1,"I"
"E","Crop damage",499,12,"Seed-feeding bird","None",9.84253094984433e-05,1,"I"
"E","Crop damage",500,12,"Seed-feeding bird","None",0.000249101140424711,1,"I"
"E","Crop damage",501,12,"Seed-feeding bird","None",0.000305063345003214,1,"I"
"E","Crop damage",502,12,"Seed-feeding bird","None",8.43301864747087e-05,1,"I"
"E","Crop damage",503,12,"Seed-feeding bird","None",0.000113001538318216,1,"I"
"E","Crop damage",504,12,"Seed-feeding bird","None",0.000117007319952329,1,"I"
"E","Crop damage",505,12,"Seed-feeding bird","None",5.44031373455552e-05,1,"I"
"E","Crop damage",499,13,"Seed-feeding bird","None",7.27851028223783e-05,1,"I"
"E","Crop damage",502,13,"Seed-feeding bird","None",6.23618185695325e-05,1,"I"
"E","Crop damage",504,13,"Seed-feeding bird","None",8.65264214773524e-05,1,"I"
"E","Crop damage",505,13,"Seed-feeding bird","None",4.02308914824274e-05,1,"I"
"E","Crop damage",496,14,"Seed-feeding bird","None",0.0119766695493238,1,"I"
"E","Crop damage",497,14,"Seed-feeding bird","None",0.00174066445327045,1,"I"
"E","Crop damage",498,14,"Seed-feeding bird","None",0.0412737506371373,1,"I"
"E","Crop damage",499,14,"Seed-feeding bird","None",0.00426647525066782,1,"I"
"E","Crop damage",500,14,"Seed-feeding bird","None",0.010797871563228,1,"I"
"E","Crop damage",502,14,"Seed-feeding bird","None",0.00365548917561938,1,"I"
"E","Crop damage",503,14,"Seed-feeding bird","None",0.00489831598172101,1,"I"
"E","Crop damage",504,14,"Seed-feeding bird","None",0.00507195595591678,1,"I"
"E","Crop damage",496,16,"Seed-feeding bird","None",0.000108351130010038,1,"I"
"E","Crop damage",497,16,"Seed-feeding bird","None",1.57475297872609e-05,1,"I"
