"contrast","estimate","p.value","iteration"
"E - I",-0.167939420540331,1.50169969576064e-05,1
"E - IM",-0.374038634518401,7.05381975052433e-10,1
"E - M",0.134606741064055,0.000835597802458676,1
"E - SE",0.0764576888465856,0.165374548925638,1
"E - SI",0.0233212564876568,0.982992935576219,1
"I - IM",-0.20609921397807,0.00284424305380671,1
"I - M",0.302546161604387,0,1
"I - SE",0.244397109386917,1.3685164113042e-11,1
"I - SI",0.191260677027988,3.68632971925464e-07,1
"IM - M",0.508645375582456,0,1
"IM - SE",0.450496323364987,4.13002965160558e-14,1
"IM - SI",0.397359891006058,2.66243693758383e-11,1
"M - SE",-0.0581490522174696,0.495033729668437,1
"M - SI",-0.111285484576398,0.0134102749906156,1
"SE - SI",-0.0531364323589288,0.606252544205288,1
"E - I",-0.234142496883632,4.95936625100057e-13,2
"E - IM",-0.51087854809873,4.47308856621476e-13,2
"E - M",0.08960893014964,0.0201236773764346,2
"E - SE",0.0322569314210487,0.844109420244095,2
"E - SI",-0.0139292953556356,0.996687011075605,2
"I - IM",-0.276736051215098,6.11911667114384e-07,2
"I - M",0.323751427033272,4.2543746303636e-13,2
"I - SE",0.266399428304681,4.47641923528863e-13,2
"I - SI",0.220213201527997,2.88014057048258e-12,2
"IM - M",0.60048747824837,3.9057646006313e-13,2
"IM - SE",0.543135479519779,4.40758540776187e-13,2
"IM - SI",0.496949252743094,4.45643522084538e-13,2
"M - SE",-0.0573519987285913,0.334473847003859,2
"M - SI",-0.103538225505276,0.00544921747467486,2
"SE - SI",-0.0461862267766843,0.596287875939366,2
"E - I",-0.175970665625383,9.88686855452059e-06,3
"E - IM",-0.388287043847958,7.4540285055491e-10,3
"E - M",0.0988679742264242,0.044402874140096,3
"E - SE",0.0732910895174075,0.222322868244561,3
"E - SI",0.0409316525074815,0.847443421190412,3
"I - IM",-0.212316378222575,0.0032919570177441,3
"I - M",0.274838639851807,4.95714580495132e-13,3
"I - SE",0.24926175514279,2.43330910976169e-11,3
"I - SI",0.216902318132864,1.7950244957099e-08,3
"IM - M",0.487155018074382,2.07056594092592e-13,3
"IM - SE",0.461578133365366,2.86104473445903e-13,3
"IM - SI",0.42921869635544,4.57600624059751e-12,3
"M - SE",-0.0255768847090167,0.975014801526394,3
"M - SI",-0.0579363217189428,0.564120423134306,3
"SE - SI",-0.032359437009926,0.936465710894909,3
"E - I",-0.160883534451661,3.83870016230636e-05,4
"E - IM",-0.397066392264273,1.96690996823179e-10,4
"E - M",0.140753131168409,0.000341667790342948,4
"E - SE",0.0921242179114921,0.0470795658511286,4
"E - SI",0.0362762076646616,0.8898246424479,4
"I - IM",-0.236182857812612,0.000556264814663421,4
"I - M",0.30163666562007,1.09690034832965e-13,4
"I - SE",0.253007752363153,1.81188397618826e-12,4
"I - SI",0.197159742116322,1.3057678505124e-07,4
"IM - M",0.537819523432682,1.16351372980716e-13,4
"IM - SE",0.489190610175765,1.16573417585641e-13,4
"IM - SI",0.433342599928934,1.68998148808441e-12,4
"M - SE",-0.0486289132569174,0.6758512647608,4
"M - SI",-0.104476923503748,0.0240166239172094,4
"SE - SI",-0.0558480102468305,0.54521861595463,4
"E - I",-0.161789100170166,0.000106624825320645,5
"E - IM",-0.392601299048802,2.47034348532793e-09,5
"E - M",0.132784280279608,0.00199860691134179,5
"E - SE",0.0794151787233022,0.17432415883093,5
"E - SI",0.0363593141344142,0.908155886435458,5
"I - IM",-0.230812198878635,0.00171403746637577,5
"I - M",0.294573380449774,1.71529457304587e-13,5
"I - SE",0.241204278893468,2.94926860711087e-10,5
"I - SI",0.198148414304581,6.24153037809272e-07,5
"IM - M",0.525385579328409,1.44884104713583e-13,5
"IM - SE",0.472016477772104,3.5349501104065e-13,5
"IM - SI",0.428960613183216,2.77236011925197e-11,5
"M - SE",-0.0533691015563056,0.636925213697103,5
"M - SI",-0.0964249661451935,0.0716554491887504,5
"SE - SI",-0.0430558645888879,0.822961084840061,5
"E - I",-0.164166073896648,0.000466674143492773,6
"E - IM",-0.404454552814863,3.98693822400986e-08,6
"E - M",0.111453981590327,0.0446749424438211,6
"E - SE",0.0596444066285794,0.601266818094923,6
"E - SI",0.0293854626404133,0.97483308331702,6
"I - IM",-0.240288478918214,0.00393937017373491,6
"I - M",0.275620055486976,6.46923625780005e-11,6
"I - SE",0.223810480525228,2.00273651662641e-07,6
"I - SI",0.193551536537061,1.22027627897925e-05,6
"IM - M",0.51590853440519,4.41535696893425e-13,6
"IM - SE",0.464098959443442,1.15510379039563e-10,6
"IM - SI",0.433840015455276,1.60230717582976e-09,6
"M - SE",-0.051809574961748,0.757570413089615,6
"M - SI",-0.082068518949914,0.287164350537839,6
"SE - SI",-0.0302589439881661,0.970770507709597,6
"E - I",-0.167930909222387,0.00274375428420615,7
"E - IM",-0.407362255603051,1.77803744172422e-06,7
"E - M",0.081854116123639,0.393268109342055,7
"E - SE",0.0371242099654341,0.948169210936071,7
"E - SI",0.00986413880908391,0.999923155011145,7
"I - IM",-0.239431346380665,0.0187667015943332,7
"I - M",0.249785025346026,5.59466725058577e-07,7
"I - SE",0.205055119187821,7.90031226487464e-05,7
"I - SI",0.177795048031471,0.00116454810144428,7
"IM - M",0.48921637172669,2.95693936003261e-09,7
"IM - SE",0.444486465568486,1.03618190139265e-07,7
"IM - SI",0.417226394412135,6.43987931536749e-07,7
"M - SE",-0.044729906158205,0.903870323559804,7
"M - SI",-0.0719899773145551,0.583533833733944,7
"SE - SI",-0.0272600711563502,0.989663254260215,7
"E - I",-0.188682472413747,2.82116101065766e-05,8
"E - IM",-0.436721163617275,2.84014367579744e-10,8
