lower;upper;weight
01PLANT.zCROP Barley;Crop production;1
01PLANT.zCROP Lucerne;Crop production;1
01PLANT.zCROP Oat spring;Crop production;1
01PLANT.zCROP Oat winter;Crop production;1
01PLANT.zCROP Triticale;Crop production;1
01PLANT.zCROP Wheat;Crop production;1
02FV.Agriotes pallidulus;Pollination;1
02FV.Alysiinae sp;Pollination;1
02FV.Anapausis soluta;Pollination;1
02FV.Anaspis maculata;Pollination;1
02FV.Anaspis pulicaria;Pollination;1
02FV.Andrena dorsata;Pollination;1
02FV.Andrena minutula;Pollination;1
02FV.Anthocomus fasciatus;Pollination;1
02FV.Anthomyia liturata;Pollination;1
02FV.Anthomyia pluvialis;Pollination;1
02FV.Anthomyza gracilis;Pollination;1
02FV.Anthophila fabriciana;Pollination;1
02FV.Apis mellifera;Pollination;1
02FV.Aprostocetus sp;Pollination;1
02FV.Asecodes coronis;Pollination;1
02FV.Authonomus rubi;Pollination;1
02FV.Azelia cilipes;Pollination;1
02FV.Azelia zetterstedtii;Pollination;1
02FV.Baccha elongate;Pollination;1
02FV.Bellardia pandia;Pollination;1
02FV.Bicellaria vana;Pollination;1
02FV.Bicellaria varia;Pollination;1
02FV.Bombus hortorum;Pollination;1
02FV.Bombus lapidarius;Pollination;1
02FV.Bombus pascuorum;Pollination;1
02FV.Bombus pratorum;Pollination;1
02FV.Bombus terrestris;Pollination;1
02FV.Bombus vestalis;Pollination;1
02FV.Botanophila fugax;Pollination;1
02FV.Botanophila striolata;Pollination;1
02FV.Brachypterus urticae;Pollination;1
02FV.Bracon sp;Pollination;1
02FV.Bruchus rufimanus;Pollination;1
02FV.Byturus tomentosus;Pollination;1
02FV.Calliphora vicina;Pollination;1
02FV.Calliphora vomitoria;Pollination;1
02FV.Cantharis decipiens;Pollination;1
02FV.Cantharis lateralis;Pollination;1
02FV.Cantharis nigra;Pollination;1
02FV.Cecidomyiidae sp;Pollination;1
02FV.Centrorhynchus obstrictus;Pollination;1
02FV.Cephus pygmaeus;Pollination;1
02FV.Ceraphron trissacantha;Pollination;1
02FV.Cetema elongata;Pollination;1
02FV.Cheilosia albitarsis;Pollination;1
02FV.Cheilosia honesta;Pollination;1
02FV.Cheilosia illustrata;Pollination;1
02FV.Cheilosia pagana;Pollination;1
02FV.Cheilosia proxima;Pollination;1
02FV.Cheilosia proxima group sp. D;Pollination;1
02FV.Chloromyia formosa;Pollination;1
02FV.Chlorops hypostigma;Pollination;1
02FV.Chlorops pumilionis;Pollination;1
02FV.Chorebus sp;Pollination;1
02FV.Chorebus sp nov;Pollination;1
02FV.Chromatomyia nigra;Pollination;1
02FV.Chrysopilus asiliformis;Pollination;1
02FV.Chrysotoxum bicinctum;Pollination;1
02FV.Chrysotus sp;Pollination;1
02FV.Coccinella septempunctata;Pollination;1
02FV.Coenosia tigrina;Pollination;1
02FV.Copromyza similes;Pollination;1
02FV.Crossopalpus sp;Pollination;1
02FV.Dacnusa (maculipes);Pollination;1
02FV.Delia sp;Pollination;1
02FV.Demetrias atricapillus;Pollination;1
02FV.Desmometopa sp;Pollination;1
02FV.Dicraeus tibialis;Pollination;1
02FV.Dicraeus vagans;Pollination;1
02FV.Dilophus febrilis;Pollination;1
02FV.Diospilus capito;Pollination;1
02FV.Diplonevra sp;Pollination;1
02FV.Dolerus haematodes;Pollination;1
02FV.Dolichopus festivus;Pollination;1
02FV.Dolichopus ungulatus;Pollination;1
02FV.Ectemnius cephalotes;Pollination;1
02FV.Empis (Xanthempis) sp;Pollination;1
02FV.Empis caudatula;Pollination;1
02FV.Empis chioptera;Pollination;1
02FV.Empis livida;Pollination;1
