"node_id","node_name","taxon"
1,"Ash","Plant"
2,"Autumn Hawkbit","Plant"
3,"Bindweed sp","Plant"
4,"Black Bindweed","Plant"
5,"Blackthorn","Plant"
6,"Bluebell","Plant"
7,"Bramble","Plant"
8,"Bristly Oxtongue","Plant"
9,"Bugle","Plant"
10,"Bush Vetch","Plant"
11,"Charlock","Plant"
12,"Chenopodium sp","Plant"
13,"Cleavers","Plant"
14,"Clover sp","Plant"
15,"Common Bird's-foot-trefoil","Plant"
16,"Common Chickweed","Plant"
17,"Common Field Speedwell","Plant"
18,"Common Fleabane","Plant"
19,"Common Mouse-ear","Plant"
20,"Common Poppy","Plant"
21,"Common Vetch","Plant"
22,"Corn Mint","Plant"
23,"Corn Sowthistle","Plant"
24,"Corn Spurrey","Plant"
25,"Cow Parsley","Plant"
26,"Creeping Buttercup","Plant"
27,"Creeping Cinquefoil","Plant"
28,"Creeping Thistle","Plant"
29,"Cuckooflower","Plant"
30,"Cut-leaved Crane's-bill","Plant"
31,"Daisy","Plant"
32,"Dandelion","Plant"
33,"Dock sp","Plant"
34,"Dog's Mercury","Plant"
35,"Dogwood","Plant"
36,"Elder","Plant"
37,"Elm sp","Plant"
38,"Field Forget-me-not","Plant"
39,"Field Madder","Plant"
40,"Field Maple","Plant"
41,"Field Pansy","Plant"
42,"Garlic Mustard","Plant"
43,"Germander Speedwell","Plant"
44,"Grass sp","Plant"
45,"Ground Ivy","Plant"
46,"Groundsel","Plant"
47,"Hairy Tare","Plant"
48,"Hawkish Complex sp","Plant"
49,"Hawthorn","Plant"
50,"Hazel","Plant"
51,"Hedge Woundwort","Plant"
52,"Herb Bennet","Plant"
53,"Herb Robert","Plant"
54,"Hogweed","Plant"
55,"Honeysuckle","Plant"
56,"Ivy-leaved Speedwell","Plant"
57,"Knotgrass sp","Plant"
58,"Lesser Burdock","Plant"
59,"Lesser Stitchwort","Plant"
60,"Lesser Trefoil","Plant"
61,"Mayweed sp","Plant"
62,"Meadow Buttercup","Plant"
63,"Nipplewort","Plant"
64,"Oak","Plant"
65,"Oil Seed Rape","Plant"
66,"Parsley Piert","Plant"
67,"Persicaria sp","Plant"
68,"Pineappleweed","Plant"
69,"Plantain sp","Plant"
70,"Ragwort","Plant"
71,"Red Campion","Plant"
72,"Red Dead-nettle","Plant"
73,"Rose sp","Plant"
74,"Rough Chervil","Plant"
75,"Selfheal","Plant"
76,"Shepherd's Purse","Plant"
77,"Sow-thistle sp","Plant"
78,"Spear Thistle","Plant"
79,"Spindle","Plant"
80,"Stinging Nettle","Plant"
81,"Sun Spurge","Plant"
82,"Sycamore","Plant"
83,"Teasel","Plant"
84,"Traveller's Joy","Plant"
85,"Upright Hedge-parsley","Plant"
86,"Wall Speedwell","Plant"
87,"Water Figwort","Plant"
88,"Wayfaring-tree","Plant"
89,"White Dead-nettle","Plant"
90,"Wild Privet","Plant"
91,"Willowherb sp","Plant"
92,"Woodruff","Plant"
93,"Yellow Archangel","Plant"
100,"Alysiinae sp","Flower-visiting"
101,"Anaspis maculata","Flower-visiting"
102,"Anaspis pulicaria","Flower-visiting"
103,"Andrena dorsata","Flower-visiting"
104,"Andrena minutula","Flower-visiting"
105,"Apis mellifera","Flower-visiting"
106,"Baccha elongate","Flower-visiting"
107,"Bellardia pandia","Flower-visiting"
108,"Bombus hortorum","Flower-visiting"
109,"Bombus lapidarius","Flower-visiting"
110,"Bombus pascuorum","Flower-visiting"
111,"Bombus pratorum","Flower-visiting"
112,"Bombus terrestris","Flower-visiting"
113,"Bombus vestalis","Flower-visiting"
114,"Byturus tomentosus","Flower-visiting"
115,"Calliphora vicina","Flower-visiting"
116,"Cantharis lateralis","Flower-visiting"
117,"Cantharis nigra","Flower-visiting"
118,"Cheilosia albitarsis","Flower-visiting"
119,"Cheilosia honesta","Flower-visiting"
120,"Cheilosia illustrata","Flower-visiting"
121,"Cheilosia pagana","Flower-visiting"
122,"Cheilosia proxima","Flower-visiting"
123,"Cheilosia proxima group sp. D","Flower-visiting"
124,"Chloromyia formosa","Flower-visiting"
125,"Chlorops hypostigma","Flower-visiting"
126,"Chlorops pumilionis","Flower-visiting"
127,"Chrysotoxum bicinctum","Flower-visiting"
128,"Delia sp","Flower-visiting"
129,"Dilophus febrilis","Flower-visiting"
130,"Empis livida","Flower-visiting"
131,"Episyrphus balteatus","Flower-visiting"
132,"Eriothrix rufomaculata","Flower-visiting"
133,"Eristalis arbustorum","Flower-visiting"
134,"Eristalis pertinax","Flower-visiting"
135,"Eristalis tenax","Flower-visiting"
136,"Eudasyphora cyanella","Flower-visiting"
137,"Eupeodes corollae","Flower-visiting"
138,"Eupeodes luniger","Flower-visiting"
139,"Formicidae B","Flower-visiting"
140,"Glyphipterix simpliciella","Flower-visiting"
141,"Grammoptera ruficornis","Flower-visiting"
142,"Helophilus pendulus","Flower-visiting"
143,"Helophilus trivittatus","Flower-visiting"
144,"Hemicrepidius hirtus","Flower-visiting"
145,"Hylaeus communis","Flower-visiting"
146,"Hylaeus hyalinatus","Flower-visiting"
147,"Ichneumonidae","Flower-visiting"
148,"Lasioglossum sp","Flower-visiting"
149,"Lonchoptera lutea","Flower-visiting"
150,"Lucilia richardsi","Flower-visiting"
151,"Lucilia sericata","Flower-visiting"
152,"Malachius bipustulatus","Flower-visiting"
153,"Melangyna sp","Flower-visiting"
154,"Melanostoma mellinum","Flower-visiting"
155,"Melanostoma scalare","Flower-visiting"
156,"Melanostoma sp","Flower-visiting"
157,"Melinda viridicyanea","Flower-visiting"
158,"Metasyrphus luniger","Flower-visiting"
159,"Musca autumnalis","Flower-visiting"
160,"Neoascia podagrica","Flower-visiting"
161,"Neomyia cornicina","Flower-visiting"
162,"Neomyia viridescens","Flower-visiting"
163,"Oedemera lurida","Flower-visiting"
164,"Oedemera nobilis","Flower-visiting"
165,"Olibrus aeneus","Flower-visiting"
166,"Phasia obesa","Flower-visiting"
167,"Phasia pusilla","Flower-visiting"
168,"Pierretia sp","Flower-visiting"
169,"Pipiza noctiluca","Flower-visiting"
170,"Platycheirus albimanus","Flower-visiting"
171,"Platycheirus clypeatus","Flower-visiting"
172,"Platycheirus manicatus","Flower-visiting"
173,"Platycheirus nielseni","Flower-visiting"
174,"Platycheirus peltatus","Flower-visiting"
175,"Platycheirus scutatus","Flower-visiting"
176,"Platycheirus sp","Flower-visiting"
177,"Platypalpus sp","Flower-visiting"
178,"Pollenia amentaria","Flower-visiting"
179,"Pollenia pediculata","Flower-visiting"
180,"Pollenia rudis","Flower-visiting"
181,"Rhagio tringarius","Flower-visiting"
182,"Rhagonycha fulva","Flower-visiting"
183,"Rhingia campestris","Flower-visiting"
184,"Sarcophaga carnaria","Flower-visiting"
185,"Scaptomyza pallida","Flower-visiting"
186,"Scathophaga stercoraria","Flower-visiting"
187,"Sciaridae sp","Flower-visiting"
188,"Sepsis fulgens","Flower-visiting"
189,"Sicus ferrugineus","Flower-visiting"
190,"Siphona geniculata","Flower-visiting"
191,"Sphaerophoria menthastri","Flower-visiting"
192,"Sphaerophoria rueppellii","Flower-visiting"
193,"Sphaerophoria scripta","Flower-visiting"
194,"Sphaerophoria sp","Flower-visiting"
195,"Syritta pipiens","Flower-visiting"
196,"Syrphus ribesii","Flower-visiting"
197,"Tenthredopsis nassata","Flower-visiting"
198,"Tetrastichinae sp","Flower-visiting"
199,"Tytthaspis sedecimpunctata","Flower-visiting"
200,"Volucella bombylans","Flower-visiting"
201,"Acyrthosiphon pisum","Aphid"
202,"Aphid species 1","Aphid"
203,"Aphis fabae","Aphid"
204,"Aphis galiiscabri","Aphid"
