"management","services","tot","Extensive_tot","ratio_change","amount_shuff_mean","amount_shuff_sd","n","z","signif"
"I","Bird watching",1018.7036637931,2076,0.490705040362767,1.16758518894209,0.0823564115195902,501,-8.2189126030378,"below"
"I","Butterfly watching",4680.61530172413,6903,0.678055237103308,1.271421981737,0.144128350747022,501,-4.11693286961414,"below"
"IN","Bird watching",1018.7036637931,2076,0.490705040362767,1.16758518894209,0.0823564115195902,501,-8.2189126030378,"below"
"IN","Butterfly watching",957.025862068966,6903,0.138639122420537,0.148943520368336,0.0095105339172725,501,-1.08347207816427,"not signif"
"M","Bird watching",1604.05818965517,2076,0.77266772141386,0.954846548183283,0.0454731545874651,501,-4.00629400845749,"below"
"M","Butterfly watching",6465.68534482759,6903,0.936648608551005,1.00129424522004,0.0233629486441524,501,-2.76701531359212,"below"
"SE","Bird watching",2050.66810344828,2076,0.987797737691848,1.00880232425986,0.00771144429506127,501,-2.72382004775199,"below"
"SE","Butterfly watching",6853.16871921183,6903,0.992781213850764,1.01270092670795,0.00800749604874522,501,-2.48763317970145,"below"
"SI","Bird watching",1120.32435344828,2076,0.539655276227493,1.01876098187321,0.0686281747431955,501,-6.98118094264511,"below"
"SI","Butterfly watching",5210.31896551724,6903,0.754790520862993,1.07531154166762,0.0897895309636352,501,-3.56969256175802,"below"
"I","Crop damage",746863.615176902,711450.9469,1.04977527745406,1.67949530240924,0.114890055775738,501,-5.4810664047755,"below"
"I","Crop production",608012.715517242,209300,2.90498191838147,2.9041732567782,0.00323003531107909,501,0.250356892538098,"not signif"
"I","Pest control",7174.18678267016,7108.3167,1.00926662182485,1.50588494691144,0.149988513393484,501,-3.31104238485081,"below"
"I","Pollination",54070.331157763,36736.7426,1.47183248516332,1.74029351535872,0.0762958096662283,501,-3.51868643074694,"below"
"I","Seed dispersal",269805.528706897,362197.49,0.744912751070961,1.33134507311149,0.10272922939388,501,-5.7085244920124,"below"
"IN","Crop damage",746863.615176902,711450.9469,1.04977527745406,1.67915428454134,0.114878436707017,501,-5.47865226171583,"below"
"IN","Crop production",608012.715517242,209300,2.90498191838147,2.9041732567782,0.00323003531107906,501,0.2503568925381,"not signif"
"IN","Pest control",7174.18678267016,7108.3167,1.00926662182485,1.50587962474891,0.149988577672213,501,-3.31100548209321,"below"
"IN","Pollination",17891.4256838585,36736.7426,0.487017204510084,0.583545973456346,0.0432492417051905,501,-2.23191818261813,"below"
"IN","Seed dispersal",269805.528706897,362197.49,0.744912751070961,1.33134507311149,0.10272922939388,501,-5.7085244920124,"below"
"M","Crop damage",727401.265502017,711450.9469,1.02241942142535,1.18667791507692,0.0351733838564222,501,-4.66996562861488,"below"
"M","Crop production",247031.25,209300,1.18027353081701,1.17989041481431,0.00128307758984676,501,0.298591453651946,"not signif"
"M","Pest control",7297.384073512,7108.3167,1.02659805147849,1.04046521851252,0.0130632033394386,501,-1.0615441460796,"not signif"
"M","Pollination",37817.0009915363,36736.7426,1.02940539403013,1.04826768226794,0.01120340153521,501,-1.68362154820012,"not signif"
"M","Seed dispersal",288684.302392241,362197.49,0.79703562383119,0.972677566107592,0.049618019223391,501,-3.53988218444643,"below"
"SE","Crop damage",842422.387211048,711450.9469,1.18409061212404,1.21870943522364,0.0104380823579342,501,-3.31658842232504,"below"
"SE","Crop production",229224.568965518,209300,1.09519622057104,1.09516991274055,0.000262285771586377,501,0.100302164049951,"not signif"
"SE","Pest control",7178.92249949017,7108.3167,1.00993284380396,1.02361304589333,0.00984916246071982,501,-1.38897110733303,"not signif"
"SE","Pollination",37111.0474165798,36736.7426,1.01018884065622,1.02945949394168,0.00765241131188638,501,-2.51824588355951,"below"
"SE","Seed dispersal",352392.214956897,362197.49,0.972928373846259,1.01266162296025,0.0147521319936083,501,-2.69339029309143,"below"
"SI","Crop damage",590639.413107828,711450.9469,0.830189931830742,1.33895624863223,0.104120497185983,501,-4.88632239138003,"below"
"SI","Crop production",385405.926724138,209300,1.84140433217457,1.84080743216435,0.00232485575708114,501,0.256747115772332,"not signif"
"SI","Pest control",6800.620887517,7108.3167,0.956713266238827,1.20058715234835,0.090792049756274,501,-2.68607093643317,"below"
"SI","Pollination",45442.3475017287,36736.7426,1.23697269506221,1.31414977967564,0.0322594055423505,501,-2.3923901670199,"below"
"SI","Seed dispersal",242730.917424569,362197.49,0.670161787771001,1.0938983175164,0.0784428573062182,501,-5.40184975785951,"below"
