"management","node_id","taxon_from","services","node_int","node_to","services_to","type","hop"
"E",519,"Butterfly","Pollination",32,524,"Pollination","I",2
"E",519,"Butterfly","Pollination",32,524,"Butterfly watching","I",2
"E",519,"Butterfly","Pollination",32,496,"Crop damage","I",2
"E",519,"Butterfly","Pollination",32,496,"Bird watching","I",2
"E",519,"Butterfly","Pollination",32,497,"Crop damage","I",2
"E",519,"Butterfly","Pollination",32,497,"Bird watching","I",2
"E",519,"Butterfly","Pollination",32,498,"Crop damage","I",2
"E",519,"Butterfly","Pollination",32,498,"Bird watching","I",2
"E",519,"Butterfly","Pollination",32,499,"Crop damage","I",2
"E",519,"Butterfly","Pollination",32,499,"Seed dispersal","I",2
"E",519,"Butterfly","Pollination",32,499,"Bird watching","I",2
"E",519,"Butterfly","Pollination",32,500,"Crop damage","I",2
"E",519,"Butterfly","Pollination",32,500,"Seed dispersal","I",2
"E",519,"Butterfly","Pollination",32,501,"Crop damage","I",2
"E",519,"Butterfly","Pollination",32,501,"Seed dispersal","I",2
"E",519,"Butterfly","Pollination",32,501,"Bird watching","I",2
"E",519,"Butterfly","Pollination",32,503,"Crop damage","I",2
"E",519,"Butterfly","Pollination",32,503,"Bird watching","I",2
"E",519,"Butterfly","Pollination",32,504,"Crop damage","I",2
"E",519,"Butterfly","Pollination",32,504,"Seed dispersal","I",2
"E",519,"Butterfly","Pollination",32,505,"Crop damage","I",2
"E",519,"Butterfly","Pollination",32,516,"Pollination","I",2
"E",519,"Butterfly","Pollination",32,516,"Butterfly watching","I",2
"E",519,"Butterfly","Pollination",32,522,"Pollination","I",2
"E",519,"Butterfly","Pollination",32,522,"Butterfly watching","I",2
"E",519,"Butterfly","Pollination",32,526,"Pollination","I",2
"E",519,"Butterfly","Pollination",32,526,"Butterfly watching","I",2
"E",524,"Butterfly","Pollination",32,519,"Pollination","I",2
"E",524,"Butterfly","Pollination",32,519,"Butterfly watching","I",2
"E",524,"Butterfly","Pollination",32,496,"Crop damage","I",2
"E",524,"Butterfly","Pollination",32,496,"Bird watching","I",2
"E",524,"Butterfly","Pollination",32,497,"Crop damage","I",2
"E",524,"Butterfly","Pollination",32,497,"Bird watching","I",2
"E",524,"Butterfly","Pollination",32,498,"Crop damage","I",2
"E",524,"Butterfly","Pollination",32,498,"Bird watching","I",2
"E",524,"Butterfly","Pollination",32,499,"Crop damage","I",2
"E",524,"Butterfly","Pollination",32,499,"Seed dispersal","I",2
"E",524,"Butterfly","Pollination",32,499,"Bird watching","I",2
"E",524,"Butterfly","Pollination",32,500,"Crop damage","I",2
"E",524,"Butterfly","Pollination",32,500,"Seed dispersal","I",2
"E",524,"Butterfly","Pollination",32,501,"Crop damage","I",2
"E",524,"Butterfly","Pollination",32,501,"Seed dispersal","I",2
"E",524,"Butterfly","Pollination",32,501,"Bird watching","I",2
"E",524,"Butterfly","Pollination",32,503,"Crop damage","I",2
"E",524,"Butterfly","Pollination",32,503,"Bird watching","I",2
"E",524,"Butterfly","Pollination",32,504,"Crop damage","I",2
"E",524,"Butterfly","Pollination",32,504,"Seed dispersal","I",2
"E",524,"Butterfly","Pollination",32,505,"Crop damage","I",2
"E",524,"Butterfly","Pollination",32,516,"Pollination","I",2
"E",524,"Butterfly","Pollination",32,516,"Butterfly watching","I",2
"E",524,"Butterfly","Pollination",32,522,"Pollination","I",2
"E",524,"Butterfly","Pollination",32,522,"Butterfly watching","I",2
"E",524,"Butterfly","Pollination",32,526,"Pollination","I",2
"E",524,"Butterfly","Pollination",32,526,"Butterfly watching","I",2
"E",514,"Butterfly","Pollination",95,295,"Pollination","I",2
"E",514,"Butterfly","Pollination",95,112,"Pollination","I",2
"E",514,"Butterfly","Pollination",95,126,"Pollination","I",2
"E",514,"Butterfly","Pollination",95,469,"Pest control","I",2
"E",514,"Butterfly","Pollination",95,445,"Pest control","I",2
"E",514,"Butterfly","Pollination",95,422,"Pest control","I",2
"E",514,"Butterfly","Pollination",95,438,"Pest control","I",2
"E",514,"Butterfly","Pollination",95,196,"None","I",2
"E",514,"Butterfly","Pollination",95,516,"Pollination","I",2
"E",514,"Butterfly","Pollination",95,516,"Butterfly watching","I",2
"E",514,"Butterfly","Pollination",95,523,"Pollination","I",2
"E",514,"Butterfly","Pollination",95,523,"Butterfly watching","I",2
"E",516,"Butterfly","Pollination",91,496,"Crop damage","I",2
"E",516,"Butterfly","Pollination",91,496,"Bird watching","I",2
"E",516,"Butterfly","Pollination",91,497,"Crop damage","I",2
"E",516,"Butterfly","Pollination",91,497,"Bird watching","I",2
"E",516,"Butterfly","Pollination",91,498,"Crop damage","I",2
"E",516,"Butterfly","Pollination",91,498,"Bird watching","I",2
"E",516,"Butterfly","Pollination",91,499,"Crop damage","I",2
"E",516,"Butterfly","Pollination",91,499,"Seed dispersal","I",2
