"layer","services","node_id","taxon","node_int","node_to","services_to","type","hop"
"CP","Crop production",91,"Crop",NA,NA,"-","D",0
"CP","Crop production",92,"Crop",NA,NA,"-","D",0
"CP","Crop production",93,"Crop",NA,NA,"-","D",0
"CP","Crop production",88,"Crop",NA,NA,"-","D",0
"CP","Crop production",90,"Crop",NA,NA,"-","D",0
"GM","Crop production",89,"Crop",NA,NA,"-","D",0
"LU","Crop production",89,"Crop",NA,NA,"-","D",0
"MH","Crop production",93,"Crop",NA,NA,"-","D",0
"CP","Pollination",99,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",117,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",120,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",122,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",125,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",126,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",132,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",134,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",135,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",136,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",137,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",138,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",152,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",158,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",160,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",164,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",167,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",173,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",175,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",177,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",180,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",184,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",187,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",190,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",192,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",196,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",197,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",203,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",216,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",217,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",222,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",227,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",232,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",239,"Flower-visiting insect",NA,NA,"-","D",0
