"management","services","tot","Prop_mean","dir_shuff_mean","dir_shuff_sd","n","z","signif"
"SE","Crop production",6,1,1,0,500,NA,"not signif"
"M","Crop production",6,1,1,0,500,NA,"not signif"
"SI","Crop production",6,1,1,0,500,NA,"not signif"
"I","Crop production",6,1,1,0,500,NA,"not signif"
"IN","Crop production",6,1,1,0,500,NA,"not signif"
"SE","Pollination",115,0.982905982905983,0.946119658119658,0.023709244491828,500,1.55156039657881,"not signif"
"M","Pollination",84,0.717948717948718,0.807179487179487,0.0419086638666624,500,-2.12917237148547,"below"
"SI","Pollination",70,0.598290598290598,0.757094017094017,0.048136459300774,500,-3.29902575117039,"below"
"I","Pollination",50,0.427350427350427,0.723367521367521,0.0559118301747495,500,-5.29435529282279,"below"
"IN","Pollination",6,0.0512820512820513,0.0512820512820513,0,500,NA,"not signif"
"SE","Crop damage",15,1,0.9968,0.014265354324423,500,0.224319699828375,"not signif"
"M","Crop damage",14,0.933333333333333,0.9968,0.014265354324423,500,-4.44900737992947,"below"
"SI","Crop damage",14,0.933333333333333,0.9968,0.014265354324423,500,-4.44900737992947,"below"
"I","Crop damage",14,0.933333333333333,0.9968,0.014265354324423,500,-4.44900737992947,"below"
"IN","Crop damage",14,0.933333333333333,0.933333333333333,0,500,NA,"not signif"
"SE","Pest control",28,1,1,0,500,NA,"not signif"
"M","Pest control",22,0.785714285714286,0.961214285714286,0.0237839709239894,500,-7.37891921247616,"below"
"SI","Pest control",18,0.642857142857143,0.942642857142857,0.0306443654504308,500,-9.78273525587067,"below"
"I","Pest control",18,0.642857142857143,0.942642857142857,0.0306443654504308,500,-9.78273525587067,"below"
"IN","Pest control",18,0.642857142857143,0.872857142857143,0.0411110073304583,500,-5.59460871759272,"below"
"SE","Seed dispersal",5,1,1,0,500,NA,"not signif"
"M","Seed dispersal",5,1,1,0,500,NA,"not signif"
"SI","Seed dispersal",5,1,1,0,500,NA,"not signif"
"I","Seed dispersal",5,1,1,0,500,NA,"not signif"
"IN","Seed dispersal",5,1,1,0,500,NA,"not signif"
"SE","Butterfly watching",16,1,1,0,500,NA,"not signif"
"M","Butterfly watching",16,1,0.949625,0.0247390565065378,500,2.03625388812574,"above"
"SI","Butterfly watching",13,0.8125,0.826125,0.0797881832313954,500,-0.170764635165158,"not signif"
"I","Butterfly watching",9,0.5625,0.825375,0.0801085615791255,500,-3.28148446081323,"below"
"IN","Butterfly watching",3,0.1875,0.1875,0,500,NA,"not signif"
"SE","Bird watching",7,1,1,0,500,NA,"not signif"
"M","Bird watching",7,1,1,0,500,NA,"not signif"
"SI","Bird watching",7,1,1,0,500,NA,"not signif"
"I","Bird watching",7,1,1,0,500,NA,"not signif"
"IN","Bird watching",7,1,1,0,500,NA,"not signif"
