"","layer","services","node_id","taxon","node_int","node_to","services_to","type","hop"
"1","CP","None",10,"Plant",NA,99,"Pollination","I",1
"2","CP","None",18,"Plant",NA,117,"Pollination","I",1
"3","CP","None",73,"Plant",NA,117,"Pollination","I",1
"4","CP","None",18,"Plant",NA,120,"Pollination","I",1
"5","CP","None",56,"Plant",NA,122,"Pollination","I",1
"6","CP","None",26,"Plant",NA,125,"Pollination","I",1
"7","CP","None",56,"Plant",NA,126,"Pollination","I",1
"8","CP","None",10,"Plant",NA,132,"Pollination","I",1
"9","CP","None",43,"Plant",NA,132,"Pollination","I",1
"10","CP","None",56,"Plant",NA,132,"Pollination","I",1
"11","CP","None",10,"Plant",NA,134,"Pollination","I",1
"12","CP","None",10,"Plant",NA,135,"Pollination","I",1
"13","CP","None",24,"Plant",NA,136,"Pollination","I",1
"14","CP","None",10,"Plant",NA,137,"Pollination","I",1
"15","CP","None",24,"Plant",NA,138,"Pollination","I",1
"16","CP","None",10,"Plant",NA,152,"Pollination","I",1
"17","CP","None",10,"Plant",NA,158,"Pollination","I",1
"18","CP","None",18,"Plant",NA,158,"Pollination","I",1
"19","CP","None",24,"Plant",NA,158,"Pollination","I",1
"20","CP","None",56,"Plant",NA,158,"Pollination","I",1
"21","CP","None",24,"Plant",NA,160,"Pollination","I",1
"22","CP","None",10,"Plant",NA,164,"Pollination","I",1
"23","CP","None",56,"Plant",NA,167,"Pollination","I",1
"24","CP","None",10,"Plant",NA,173,"Pollination","I",1
"25","CP","None",24,"Plant",NA,173,"Pollination","I",1
"26","CP","None",36,"Plant",NA,173,"Pollination","I",1
"27","CP","None",43,"Plant",NA,173,"Pollination","I",1
"28","CP","None",56,"Plant",NA,173,"Pollination","I",1
"29","CP","None",71,"Plant",NA,173,"Pollination","I",1
"30","CP","None",22,"Plant",NA,175,"Pollination","I",1
"31","CP","None",24,"Plant",NA,177,"Pollination","I",1
"32","CP","None",56,"Plant",NA,180,"Pollination","I",1
"33","CP","None",56,"Plant",NA,184,"Pollination","I",1
"34","CP","None",43,"Plant",NA,187,"Pollination","I",1
"35","CP","None",56,"Plant",NA,190,"Pollination","I",1
"36","CP","None",24,"Plant",NA,192,"Pollination","I",1
"37","CP","None",72,"Plant",NA,196,"Pollination","I",1
"38","CP","None",56,"Plant",NA,197,"Pollination","I",1
"39","CP","None",56,"Plant",NA,203,"Pollination","I",1
"40","CP","None",10,"Plant",NA,216,"Pollination","I",1
"41","CP","None",15,"Plant",NA,217,"Pollination","I",1
"42","CP","None",24,"Plant",NA,222,"Pollination","I",1
"43","CP","None",10,"Plant",NA,227,"Pollination","I",1
"44","CP","None",24,"Plant",NA,227,"Pollination","I",1
"45","CP","None",56,"Plant",NA,227,"Pollination","I",1
"46","CP","None",24,"Plant",NA,232,"Pollination","I",1
"47","CP","None",26,"Plant",NA,239,"Pollination","I",1
"48","CP","None",56,"Plant",NA,239,"Pollination","I",1
"49","CP","None",56,"Plant",NA,242,"Pollination","I",1
"50","CP","None",56,"Plant",NA,243,"Pollination","I",1
"51","CP","None",10,"Plant",NA,244,"Pollination","I",1
"52","CP","None",56,"Plant",NA,244,"Pollination","I",1
"53","CP","None",56,"Plant",NA,245,"Pollination","I",1
"54","CP","None",56,"Plant",NA,247,"Pollination","I",1
"55","CP","None",10,"Plant",NA,250,"Pollination","I",1
"56","CP","None",10,"Plant",NA,254,"Pollination","I",1
"57","CP","None",56,"Plant",NA,254,"Pollination","I",1
"58","CP","None",57,"Plant",NA,254,"Pollination","I",1
"59","CP","None",72,"Plant",NA,254,"Pollination","I",1
"60","CP","None",56,"Plant",NA,259,"Pollination","I",1
"61","CP","None",10,"Plant",NA,261,"Pollination","I",1
"62","CP","None",56,"Plant",NA,272,"Pollination","I",1
"63","CP","None",71,"Plant",NA,272,"Pollination","I",1
"64","CP","None",56,"Plant",NA,274,"Pollination","I",1
"65","CP","None",18,"Plant",NA,275,"Pollination","I",1
"66","CP","None",56,"Plant",NA,278,"Pollination","I",1
"67","CP","None",56,"Plant",NA,281,"Pollination","I",1
"68","CP","None",56,"Plant",NA,282,"Pollination","I",1
"69","CP","None",56,"Plant",NA,299,"Pollination","I",1
"70","CP","None",56,"Plant",NA,300,"Pollination","I",1
"71","CP","None",10,"Plant",NA,301,"Pollination","I",1
"72","CP","None",56,"Plant",NA,301,"Pollination","I",1
"73","CP","None",10,"Plant",NA,302,"Pollination","I",1
"74","CP","None",73,"Plant",NA,306,"Pollination","I",1
"75","CP","None",56,"Plant",NA,315,"Pollination","I",1
"76","CP","None",72,"Plant",NA,315,"Pollination","I",1
"77","CP","None",24,"Plant",NA,316,"Pollination","I",1
