lower;C;CSF;GM;LP;LU;MH;NH;NL;PP;RG;ST;W
01PLANT.Ash;0;0;0;28;0;28;28;0;0;28;28;28
01PLANT.Autumn Hawkbit;0;0;54;0;0;0;54;0;162;54;0;0
01PLANT.Bindweed sp;0;0;18;18;0;18;18;0;18;54;0;18
01PLANT.Black Bindweed;22;22;0;0;11;0;11;0;0;0;0;0
01PLANT.Blackthorn;110;0;110;110;0;220;110;0;0;110;0;110
01PLANT.Bluebell;0;0;0;0;0;8;0;0;0;0;0;16
01PLANT.Bramble;287;0;287;0;0;3157;287;0;287;1148;0;2009
01PLANT.Bristly Oxtongue;12;0;0;0;0;0;12;0;0;0;0;0
01PLANT.Bugle;0;0;0;0;0;0;0;0;0;0;0;10
01PLANT.Bush Vetch;0;0;13;0;0;26;26;13;0;13;0;13
01PLANT.Charlock;738;246;8;246;0;0;123;123;246;369;0;0
01PLANT.Chenopodium sp;51;0;51;0;51;51;51;0;51;51;0;0
01PLANT.Cleavers;33;33;33;0;0;33;33;0;33;33;0;33
01PLANT.Clover sp;990;165;2640;3100;660;330;495;2640;2640;1815;0;0
01PLANT.Common Bird's-foot-trefoil;0;0;0;0;0;10;0;0;10;20;0;0
01PLANT.Common Chickweed;70;0;0;28;14;0;14;14;0;14;0;0
01PLANT.Common Field Speedwell;77;44;11;11;11;11;0;11;11;33;0;0
01PLANT.Common Fleabane;0;0;0;0;0;0;0;0;10;0;0;0
01PLANT.Common Mouse-ear;124;31;186;124;31;62;124;31;248;124;0;0
01PLANT.Common Poppy;96;48;0;48;24;24;48;24;0;48;0;0
01PLANT.Common Vetch;18;0;0;0;0;0;0;0;0;72;0;0
01PLANT.Corn Mint;22;0;0;0;0;22;0;22;0;44;0;0
01PLANT.Corn Sowthistle;20;0;0;0;0;0;0;0;0;0;0;0
01PLANT.Corn Spurrey;14;0;0;0;0;0;0;0;0;0;0;0
01PLANT.Cow Parsley;0;0;193;0;0;386;0;0;0;579;0;0
01PLANT.Creeping Buttercup;7659;2553;11063;11063;851;3404;5957;851;12765;5106;0;1702
01PLANT.Creeping Cinquefoil;0;0;10;0;0;10;10;0;10;20;0;0
01PLANT.Creeping Thistle;1414;1414;2828;2828;707;2121;4242;707;1414;4242;0;707
01PLANT.Cuckooflower;0;0;0;0;0;0;0;0;4;0;0;4
01PLANT.Cut-leaved Crane's-bill;7;7;14;14;7;28;35;7;7;35;0;0
01PLANT.Daisy;40;0;40;0;40;40;0;0;200;40;0;0
01PLANT.Dandelion;29;29;58;29;29;29;58;29;29;58;0;0
01PLANT.Dock sp;119;119;119;119;119;119;119;119;119;119;0;119
01PLANT.Dog's Mercury;0;0;0;0;0;15;0;0;0;15;0;15
01PLANT.Dogwood;0;0;0;0;0;13;13;0;0;0;0;0
01PLANT.Elder;31;0;0;0;0;31;31;31;0;31;0;31
01PLANT.Elm sp;0;0;0;0;0;3;0;0;0;0;0;3
01PLANT.Field Forget-me-not;605;220;55;110;55;0;165;55;55;165;0;0
01PLANT.Field Madder;10;5;0;5;0;5;0;5;0;0;0;0
01PLANT.Field Maple;0;0;0;0;0;30;30;0;0;30;0;30
