"management","services_to","tot","Prop_mean","ind_shuff_mean","ind_shuff_sd","n","z","signif"
"SE","Crop production",1093,0.967256637168142,0.986324180690877,0.00525302167548452,500,-3.62982388055282,"below"
"M","Crop production",961,0.850442477876106,0.914570416297608,0.0148278203615573,500,-4.32483917783095,"below"
"SI","Crop production",865,0.765486725663717,0.891739592559787,0.0181629734897452,500,-6.9511122155936,"below"
"I","Crop production",794,0.702654867256637,0.886963684676705,0.0193262664426618,500,-9.53670063314531,"below"
"IN","Crop production",93,0.0823008849557522,0.093392382639504,0.00101958211271287,500,-10.8784741762876,"below"
"SE","Pollination",17172,0.916671115144398,0.84376672182779,0.047144413672732,500,1.54640576978422,"not signif"
"SE","Crop damage",9711,0.971877502001601,0.92267293835068,0.0166822032693903,500,2.94952428383395,"above"
"SE","Pest control",2869,0.876833740831296,0.911064792176039,0.029065181817609,500,-1.17773394845941,"not signif"
"SE","Butterfly watching",3339,0.949928876244666,0.8888893314367,0.0331865483281349,500,1.83928573120748,"not signif"
"SE","Bird watching",5648,0.970446735395189,0.935206529209622,0.016792770742119,500,2.09853434711514,"above"
"SE","Seed dispersal",4125,0.9765625,0.936772727272727,0.0146294329140817,500,2.71984382176377,"above"
"M","Pollination",8427,0.449847862061603,0.562465488709764,0.055525888685559,500,-2.02820034607479,"below"
"M","Crop damage",6563,0.656825460368295,0.741315852682146,0.028567928219609,500,-2.95752606434571,"below"
"M","Pest control",1795,0.54859413202934,0.682156479217604,0.0333235004763318,500,-4.00805273392955,"below"
"M","Butterfly watching",1903,0.541394025604552,0.598625889046942,0.0619164000251212,500,-0.924340940674347,"not signif"
"M","Bird watching",3813,0.655154639175258,0.740908591065292,0.0319220743677297,500,-2.68635273830211,"below"
"M","Seed dispersal",2899,0.686316287878788,0.757814393939394,0.0276977301788604,500,-2.58137058881364,"below"
"SI","Pollination",5506,0.293919820637378,0.45851492019431,0.0645227778617745,500,-2.5509611490928,"below"
"SI","Crop damage",5213,0.521717373899119,0.684390512409928,0.0334862354888974,500,-4.85791060523194,"below"
"SI","Pest control",1011,0.30898533007335,0.553352078239609,0.048294099342368,500,-5.05997112471001,"below"
"SI","Butterfly watching",1269,0.361024182076814,0.479897581792319,0.0752358378139813,500,-1.58001031382699,"not signif"
"SI","Bird watching",3009,0.517010309278351,0.684327835051546,0.0366534017754116,500,-4.56485667547066,"below"
"SI","Seed dispersal",2324,0.550189393939394,0.697509943181818,0.0332528247798268,500,-4.4303168292577,"below"
"I","Pollination",2581,0.137778252282069,0.406880905354188,0.0686071286420706,500,-3.92237160187902,"below"
"I","Crop damage",4287,0.42904323458767,0.662507005604484,0.0356763435687717,500,-6.5439377375312,"below"
"I","Pest control",675,0.206295843520782,0.528518337408313,0.0506680253541877,500,-6.35948394742205,"below"
"I","Butterfly watching",631,0.179516358463727,0.437712091038407,0.077377687730958,500,-3.3368240916222,"below"
"I","Bird watching",2494,0.428522336769759,0.663631958762887,0.0390296035587063,500,-6.02387932635513,"below"
"I","Seed dispersal",1903,0.450520833333333,0.674858901515151,0.0358373399703778,500,-6.25989731289349,"below"
"IN","Pollination",66,0.00352319436288902,0.00352319436288902,0,500,NA,"not signif"
"IN","Crop damage",200,0.0200160128102482,0.0210824659727782,0.000305733189568438,500,-3.48818250329769,"below"
"IN","Pest control",235,0.0718215158924205,0.105872249388753,0.00495944366375716,500,-6.86583734082312,"below"
"IN","Butterfly watching",33,0.00938833570412518,0.00938833570412518,0,500,NA,"not signif"
"IN","Bird watching",98,0.0168384879725086,0.0168384879725086,0,500,NA,"not signif"
"IN","Seed dispersal",70,0.0165719696969697,0.0165719696969697,0,500,NA,"not signif"
