"","upper"
"1","02FV.Cheilosia albitarsis"
"2","02FV.Platycheirus albimanus"
"3","02FV.Sphaerophoria sp"
"4","02FV.Bombus pascuorum"
"7","02FV.Syrphus ribesii"
"10","02FV.Bombus lapidarius"
"12","02FV.Metasyrphus luniger"
"15","02FV.Apis mellifera"
"16","02FV.Bombus terrestris"
"32","02FV.Eupeodes corollae"
"37","02FV.Bombus vestalis"
"43","02FV.Platycheirus nielseni"
"44","02FV.Platycheirus scutatus"
"49","02FV.Lasioglossum sp"
"50","02FV.Platycheirus peltatus"
"53","02FV.Episyrphus balteatus"
"55","02FV.Pipiza noctiluca"
"56","02FV.Melanostoma scalare"
"69","02FV.Eristalis pertinax"
"73","02FV.Melanostoma sp"
"78","02FV.Syritta pipiens"
"88","02FV.Bombus hortorum"
"92","02FV.Eristalis arbustorum"
"96","02FV.Sphaerophoria scripta"
"105","02FV.Sphaerophoria rueppellii"
"115","02FV.Helophilus pendulus"
"118","02FV.Andrena dorsata"
"121","02FV.Bombus pratorum"
"135","02FV.Volucella bombylans"
"139","02FV.Cheilosia illustrata"
"141","02FV.Melanostoma mellinum"
"144","02FV.Neoascia podagrica"
"146","02FV.Eupeodes luniger"
"157","02FV.Cheilosia proxima"
"159","02FV.Platycheirus clypeatus"
"163","02FV.Cheilosia proxima group sp. D"
"164","02FV.Cheilosia honesta"
"165","02FV.Cheilosia pagana"
"167","02FV.Rhingia campestris"
"173","02FV.Baccha elongate"
"176","02FV.Eristalis tenax"
"178","02FV.Hylaeus communis"
"192","02FV.Sphaerophoria menthastri"
"196","02FV.Hylaeus hyalinatus"
"200","02FV.Melangyna sp"
"231","02FV.Chrysotoxum bicinctum"
"237","02FV.Andrena minutula"
"256","02FV.Oedemera nobilis"
"257","02FV.Empis livida"
"258","02FV.Scathophaga stercoraria"
"265","02FV.Malachius bipustulatus"
"266","02FV.Glyphipterix simpliciella"
"268","02FV.Alysiinae sp"
"271","02FV.Chlorops hypostigma"
"272","02FV.Chlorops pumilionis"
"275","02FV.Platypalpus sp"
"278","02FV.Formicidae B"
"283","02FV.Tytthaspis sedecimpunctata"
"295","02FV.Sciaridae sp"
"296","02FV.Delia sp"
"300","02FV.Tetrastichinae sp"
"308","02FV.Calliphora vicina"
"311","02FV.Melinda viridicyanea"
"316","02FV.Eudasyphora cyanella"
"319","02FV.Tenthredopsis nassata"
"321","02FV.Neomyia cornicina"
"354","02FV.Siphona geniculata"
"364","02FV.Anaspis maculata"
"366","02FV.Grammoptera ruficornis"
"368","02FV.Cantharis nigra"
"377","02FV.Phasia pusilla"
"380","02FV.Dilophus febrilis"
"382","02FV.Rhagonycha fulva"
"383","02FV.Pollenia pediculata"
"386","02FV.Pierretia sp"
"394","02FV.Ichneumonidae"
"402","02FV.Lucilia richardsi"
"404","02FV.Eriothrix rufomaculata"
"405","02FV.Sicus ferrugineus"
"407","02FV.Lucilia sericata"
"408","02FV.Neomyia viridescens"
"419","02FV.Rhagio tringarius"
"424","02FV.Oedemera lurida"
"433","02FV.Chloromyia formosa"
"475","02FV.Sepsis fulgens"
"492","02FV.Musca autumnalis"
"517","02FV.Lonchoptera lutea"
"537","02FV.Hemicrepidius hirtus"
"546","02FV.Scaptomyza pallida"
"551","02FV.Anaspis pulicaria"
"576","02FV.Sarcophaga carnaria"
"597","02FV.Pollenia amentaria"
"601","02FV.Cantharis lateralis"
"617","02FV.Byturus tomentosus"
"651","02FV.Pollenia rudis"
"653","02FV.Olibrus aeneus"
"662","02FV.Bellardia pandia"
"753","02FV.Platycheirus manicatus"
"758","02FV.Platycheirus sp"
"759","02FV.Helophilus trivittatus"
"814","02FV.Phasia obesa"
