"management","services_to","tot","Prop_mean","ind_shuff_mean","ind_shuff_sd","n","z","signif"
"SE","Crop production",1091,0.965486725663717,0.215848197316616,0.0338670652727528,501,22.134735392919,"above"
"M","Crop production",961,0.850442477876106,0.200702227078173,0.0298082874641452,501,21.7973022294377,"above"
"SI","Crop production",865,0.765486725663717,0.197208771120293,0.0264211880770522,501,21.5084178987771,"above"
"I","Crop production",794,0.702654867256637,0.196736730259587,0.0237876506409004,501,21.2681001850253,"above"
"IN","Crop production",93,0.0823008849557522,0.0792622019026606,0.00289059746603925,501,1.0512300964739,"not signif"
"SE","Pollination",16252,0.867559920995036,0.720755467658608,0.0287363604708821,501,5.10866550011374,"above"
"SE","Crop damage",9486,0.949359487590072,0.611485395901552,0.0184743972166538,501,18.2887748772632,"above"
"SE","Pest control",2820,0.861858190709046,0.790247744120561,0.0208941651740846,501,3.42729398336073,"above"
"SE","Butterfly watching",3250,0.924608819345661,0.693982163695369,0.0245836543853619,501,9.38130076330787,"above"
"SE","Bird watching",5508,0.94639175257732,0.612195540191095,0.0182517334921402,501,18.3103819990655,"above"
"SE","Seed dispersal",4035,0.955255681818182,0.620969708310651,0.0176605332948574,501,18.9284189738977,"above"
"M","Pollination",8427,0.449847862061603,0.571568548164974,0.0383103852790138,501,-3.17722427526848,"below"
"M","Crop damage",6563,0.656825460368295,0.525567160315078,0.019937590922119,501,6.58345838100213,"above"
"M","Pest control",1795,0.54859413202934,0.661850504370233,0.0332600363684849,501,-3.40517884845752,"below"
"M","Butterfly watching",1903,0.541394025604552,0.566354062855796,0.0436502885183791,501,-0.571818379636477,"not signif"
"M","Bird watching",3813,0.655154639175258,0.519123608453197,0.0216688086585333,501,6.27773463994715,"above"
"M","Seed dispersal",2899,0.686316287878788,0.537709618641505,0.0197045092503537,501,7.54175946983382,"above"
"SI","Pollination",5506,0.293919820637378,0.535896444979043,0.0447420371087252,501,-5.40826122319042,"below"
"SI","Crop damage",5213,0.521717373899119,0.507678997489409,0.0204359114481966,501,0.686946429832445,"not signif"
"SI","Pest control",1011,0.30898533007335,0.61671461478022,0.0431709072387037,501,-7.12816348763186,"below"
"SI","Butterfly watching",1269,0.361024182076814,0.534837011609782,0.0495294292893812,501,-3.5092839151739,"below"
"SI","Bird watching",3009,0.517010309278351,0.500710263322153,0.0222126953692349,501,0.733816661384262,"not signif"
"SI","Seed dispersal",2324,0.550189393939394,0.518806137724551,0.020805775693486,501,1.50839154844242,"not signif"
"I","Pollination",2581,0.137778252282069,0.518182340278606,0.0495170060964472,501,-7.68229176165459,"below"
"I","Crop damage",4287,0.42904323458767,0.501639235540129,0.0219003509679189,501,-3.31483276495441,"below"
"I","Pest control",675,0.206295843520782,0.606651611203022,0.046334258812838,501,-8.64059937376859,"below"
"I","Butterfly watching",631,0.179516358463727,0.52179510112066,0.0524122066346465,501,-6.53051578314342,"below"
"I","Bird watching",2494,0.428522336769759,0.49508611642694,0.0234018453235935,501,-2.84438166036726,"below"
"I","Seed dispersal",1903,0.450520833333333,0.512561524677917,0.0223592916429108,501,-2.77471631639342,"below"
"IN","Pollination",66,0.00352319436288902,0.00272406662679552,3.57737990398307e-05,501,22.3383525804388,"above"
"IN","Crop damage",200,0.0200160128102482,0.0075515502222137,0.000591510254774645,501,21.0722679571857,"above"
"IN","Pest control",235,0.0718215158924205,0.090034478719822,0.00958575665560554,501,-1.90000262699668,"not signif"
"IN","Butterfly watching",33,0.00938833570412518,0.00768477270210646,7.62618011280984e-05,501,22.3383525804382,"above"
"IN","Bird watching",98,0.0168384879725086,0.00483500353245399,0.000537348687501961,501,22.3383525804384,"above"
"IN","Seed dispersal",70,0.0165719696969697,0.00475847547329583,0.000528843574347509,501,22.3383525804382,"above"
