"management","services_from","node_from","node_to","taxon_from","services_to","hop","type"
"E","Pollination",519,32,"Butterfly","None",1,"I"
"E","Pollination",524,32,"Butterfly","None",1,"I"
"E","Pollination",514,95,"Butterfly","Crop production",1,"I"
"E","Pollination",516,91,"Butterfly","None",1,"I"
"E","Pollination",516,95,"Butterfly","Crop production",1,"I"
"E","Pollination",517,61,"Butterfly","None",1,"I"
"E","Pollination",523,14,"Butterfly","None",1,"I"
"E","Pollination",523,95,"Butterfly","Crop production",1,"I"
"E","Pollination",513,14,"Butterfly","None",1,"I"
"E","Pollination",513,28,"Butterfly","None",1,"I"
"E","Pollination",514,26,"Butterfly","None",1,"I"
"E","Pollination",514,28,"Butterfly","None",1,"I"
"E","Pollination",516,28,"Butterfly","None",1,"I"
"E","Pollination",517,26,"Butterfly","None",1,"I"
"E","Pollination",517,28,"Butterfly","None",1,"I"
"E","Pollination",519,28,"Butterfly","None",1,"I"
"E","Pollination",523,28,"Butterfly","None",1,"I"
"E","Pollination",523,61,"Butterfly","None",1,"I"
"E","Pollination",525,11,"Butterfly","None",1,"I"
"E","Pollination",525,14,"Butterfly","None",1,"I"
"E","Pollination",525,26,"Butterfly","None",1,"I"
"E","Pollination",525,28,"Butterfly","None",1,"I"
"E","Pollination",522,26,"Butterfly","None",1,"I"
"E","Crop damage",495,4,"Seed-feeding bird","None",1,"I"
"E","Crop damage",496,4,"Seed-feeding bird","None",1,"I"
"E","Crop damage",497,4,"Seed-feeding bird","None",1,"I"
"E","Crop damage",498,4,"Seed-feeding bird","None",1,"I"
"E","Crop damage",499,4,"Seed-feeding bird","None",1,"I"
"E","Crop damage",500,4,"Seed-feeding bird","None",1,"I"
"E","Crop damage",501,4,"Seed-feeding bird","None",1,"I"
"E","Crop damage",502,4,"Seed-feeding bird","None",1,"I"
"E","Crop damage",503,4,"Seed-feeding bird","None",1,"I"
"E","Crop damage",504,4,"Seed-feeding bird","None",1,"I"
"E","Crop damage",505,4,"Seed-feeding bird","None",1,"I"
"E","Crop damage",496,5,"Seed-feeding bird","None",1,"I"
"E","Crop damage",497,5,"Seed-feeding bird","None",1,"I"
"E","Crop damage",498,5,"Seed-feeding bird","None",1,"I"
"E","Crop damage",499,5,"Seed-feeding bird","None",1,"I"
"E","Crop damage",501,5,"Seed-feeding bird","None",1,"I"
"E","Crop damage",504,5,"Seed-feeding bird","None",1,"I"
"E","Crop damage",496,7,"Seed-feeding bird","None",1,"I"
"E","Crop damage",497,7,"Seed-feeding bird","None",1,"I"
"E","Crop damage",498,7,"Seed-feeding bird","None",1,"I"
"E","Crop damage",499,7,"Seed-feeding bird","None",1,"I"
"E","Crop damage",500,7,"Seed-feeding bird","None",1,"I"
"E","Crop damage",501,7,"Seed-feeding bird","None",1,"I"
"E","Crop damage",502,7,"Seed-feeding bird","None",1,"I"
"E","Crop damage",503,7,"Seed-feeding bird","None",1,"I"
"E","Crop damage",504,7,"Seed-feeding bird","None",1,"I"
"E","Crop damage",496,8,"Seed-feeding bird","None",1,"I"
"E","Crop damage",497,8,"Seed-feeding bird","None",1,"I"
"E","Crop damage",498,8,"Seed-feeding bird","None",1,"I"
"E","Crop damage",499,8,"Seed-feeding bird","None",1,"I"
"E","Crop damage",501,8,"Seed-feeding bird","None",1,"I"
"E","Crop damage",504,8,"Seed-feeding bird","None",1,"I"
"E","Crop damage",505,8,"Seed-feeding bird","None",1,"I"
"E","Crop damage",497,11,"Seed-feeding bird","None",1,"I"
"E","Crop damage",499,11,"Seed-feeding bird","None",1,"I"
"E","Crop damage",500,11,"Seed-feeding bird","None",1,"I"
"E","Crop damage",501,11,"Seed-feeding bird","None",1,"I"
"E","Crop damage",502,11,"Seed-feeding bird","None",1,"I"
"E","Crop damage",504,11,"Seed-feeding bird","None",1,"I"
"E","Crop damage",505,11,"Seed-feeding bird","None",1,"I"
"E","Crop damage",495,12,"Seed-feeding bird","None",1,"I"
"E","Crop damage",496,12,"Seed-feeding bird","None",1,"I"
"E","Crop damage",497,12,"Seed-feeding bird","None",1,"I"
"E","Crop damage",498,12,"Seed-feeding bird","None",1,"I"
"E","Crop damage",499,12,"Seed-feeding bird","None",1,"I"
"E","Crop damage",500,12,"Seed-feeding bird","None",1,"I"
"E","Crop damage",501,12,"Seed-feeding bird","None",1,"I"
"E","Crop damage",502,12,"Seed-feeding bird","None",1,"I"
"E","Crop damage",503,12,"Seed-feeding bird","None",1,"I"
"E","Crop damage",504,12,"Seed-feeding bird","None",1,"I"
"E","Crop damage",505,12,"Seed-feeding bird","None",1,"I"
"E","Crop damage",499,13,"Seed-feeding bird","None",1,"I"
"E","Crop damage",502,13,"Seed-feeding bird","None",1,"I"
"E","Crop damage",504,13,"Seed-feeding bird","None",1,"I"
"E","Crop damage",505,13,"Seed-feeding bird","None",1,"I"
"E","Crop damage",496,14,"Seed-feeding bird","None",1,"I"
"E","Crop damage",497,14,"Seed-feeding bird","None",1,"I"
"E","Crop damage",498,14,"Seed-feeding bird","None",1,"I"
"E","Crop damage",499,14,"Seed-feeding bird","None",1,"I"
"E","Crop damage",500,14,"Seed-feeding bird","None",1,"I"
"E","Crop damage",502,14,"Seed-feeding bird","None",1,"I"
"E","Crop damage",503,14,"Seed-feeding bird","None",1,"I"
