"management","services","tot","Extensive_tot","ratio_change","amount_shuff_mean","amount_shuff_sd","n","z","signif"
"I","Bird watching",1018.7036637931,2076,0.490705040362766,1.08885539479511,0.0938431684027671,601,-6.37393605323649,"below"
"I","Butterfly watching",4680.61530172413,6903,0.678055237103308,1.18438053393678,0.160765625162321,601,-3.14946243217263,"below"
"IN","Bird watching",1018.7036637931,2076,0.490705040362766,1.08885539479511,0.0938431684027671,601,-6.37393605323649,"below"
"IN","Butterfly watching",957.025862068966,6903,0.138639122420537,0.140539680315827,0.0112803258242535,601,-0.168484308423371,"not signif"
"M","Bird watching",1604.05818965517,2076,0.77266772141386,0.921396341129428,0.0492575037634882,601,-3.01941041165411,"below"
"M","Butterfly watching",6455.68534482759,6903,0.935199963034563,0.976998182535594,0.0246643727078167,601,-1.69468001461818,"not signif"
"SE","Bird watching",2050.66810344828,2076,0.987797737691848,0.999810951970178,0.0099053322274223,601,-1.21280276143318,"not signif"
"SE","Butterfly watching",6841.52586206897,6903,0.991094576570907,1.00039749439931,0.00931597129865023,601,-0.998598807378318,"not signif"
"SI","Bird watching",1120.32435344828,2076,0.539655276227493,0.957377094304351,0.0730910587556831,601,-5.71508779853841,"below"
"SI","Butterfly watching",5111.31896551724,6903,0.740448930250216,1.01570857707502,0.101646800589155,601,-2.70800109033803,"below"
"I","Crop damage",746863.615176902,711450.9469,1.04977527745406,1.56006528042672,0.137120762111616,601,-3.72146416862304,"below"
"I","Crop production",608012.715517242,209300,2.90498191838147,2.90156947600252,0.00722511194496178,601,0.472303045952098,"not signif"
"I","Pest control",7174.18678267015,7108.3167,1.00926662182485,1.41711576636171,0.170997524878822,601,-2.38511723971376,"below"
"I","Pollination",52320.4223819381,36736.7426,1.42419873617042,1.63261703190229,0.0858104878197332,601,-2.4288207773589,"below"
"I","Seed dispersal",269805.528706897,362197.49,0.744912751070961,1.23829461708269,0.119791317453793,601,-4.11867801856377,"below"
"IN","Crop damage",746863.615176902,711450.9469,1.04977527745406,1.55983883498309,0.137124676116042,601,-3.71970656176712,"below"
"IN","Crop production",608012.715517242,209300,2.90498191838147,2.90156947600252,0.00722511194496178,601,0.472303045952098,"not signif"
"IN","Pest control",7174.18678267015,7108.3167,1.00926662182485,1.4171087627975,0.170997386181266,601,-2.38507821716245,"below"
"IN","Pollination",17891.4256838585,36736.7426,0.487017204510084,0.559503287062206,0.050005066428082,601,-1.44957476771623,"not signif"
"IN","Seed dispersal",269805.528706897,362197.49,0.744912751070961,1.23829461708269,0.119791317453793,601,-4.11867801856377,"below"
"M","Crop damage",727401.265502017,711450.9469,1.02241942142535,1.14750140833917,0.0362896531781833,601,-3.44676721763255,"below"
"M","Crop production",247031.25,209300,1.18027353081701,1.17894085595406,0.00238250969048739,601,0.559357583420974,"not signif"
"M","Pest control",7297.378642312,7108.3167,1.02659728741574,1.02316618005769,0.0159702957537404,601,0.214843069343043,"not signif"
"M","Pollination",37769.848507485,36736.7426,1.02812187021407,1.01925667194076,0.0118437335452622,601,0.748513822895107,"not signif"
"M","Seed dispersal",288684.302392241,362197.49,0.79703562383119,0.936445491900099,0.0518010440883429,601,-2.69125594903368,"below"
"SE","Crop damage",842124.467211048,711450.9469,1.18367186224213,1.20416478102534,0.01341347638075,601,-1.52778580298728,"not signif"
"SE","Crop production",229224.568965518,209300,1.09519622057104,1.09490454508534,0.00097794144803285,601,0.298254549164949,"not signif"
"SE","Pest control",7178.66854269017,7108.3167,1.00989711708964,1.01154561692346,0.0124096075213998,601,-0.132840610065342,"not signif"
"SE","Pollination",36849.7512965404,36736.7426,1.00307617628952,1.00692379929931,0.00881393220515482,601,-0.436538757076095,"not signif"
"SE","Seed dispersal",352392.214956897,362197.49,0.972928373846259,0.999906670443417,0.0187334898495046,601,-1.44011056209434,"not signif"
"SI","Crop damage",590639.413107828,711450.9469,0.830189931830742,1.24757196484433,0.118627349572273,601,-3.51843006286923,"below"
"SI","Crop production",385405.926724138,209300,1.84140433217457,1.83913342993046,0.00470844229647754,601,0.48230435908913,"not signif"
"SI","Pest control",6800.620887517,7108.3167,0.956713266238827,1.13952640403109,0.111107033701424,601,-1.64537862007492,"not signif"
"SI","Pollination",45353.6086788944,36736.7426,1.23455716182344,1.25615016514555,0.0375600288170207,601,-0.574893151102161,"not signif"
"SI","Seed dispersal",242730.917424569,362197.49,0.670161787771001,1.02460986274199,0.0870307205960677,601,-4.07267769982139,"below"
