"contrast","estimate","p.value","iteration"
"E - SE",0.8125840198066,0.73487315965772,1
"E - M",0.911594984651689,0.645065698183514,1
"E - SI",1.25595098365315,0.327093380194958,1
"E - I",1.25934469842537,0.324731300389312,1
"E - IM",3.0045985051946,0.0061860580680082,1
"SE - M",0.0990109648450893,0.999971294195769,1
"SE - SI",0.443366963846549,0.96789936004097,1
"SE - I",0.446760678618769,0.966835436071062,1
"SE - IM",2.192014485388,0.0522584011819072,1
"M - SI",0.34435599900146,0.989193486061347,1
"M - I",0.34774971377368,0.988696062834349,1
"M - IM",2.09300352054291,0.0671541658043185,1
"SI - I",0.00339371477222006,0.999999999998633,1
"SI - IM",1.74864752154145,0.154160676125157,1
"I - IM",1.74525380676923,0.155181074416649,1
"E - SE",0.919835188828503,0.627111343586659,2
"E - M",1.50771951060195,0.168102586259166,2
"E - SI",1.53279915537627,0.15830886537766,2
"E - I",1.53653084923426,0.156883117256433,2
"E - IM",3.39539733726463,0.00196233407915491,2
"SE - M",0.587884321773442,0.902517259105223,2
"SE - SI",0.612963966547768,0.886233369986783,2
"SE - I",0.616695660405752,0.883678369489964,2
"SE - IM",2.47556214843613,0.0214709149854034,2
"M - SI",0.025079644774326,0.999999965421158,2
"M - I",0.0288113386323106,0.999999930730709,2
"M - IM",1.88767782666269,0.0911825799812599,2
"SI - I",0.00373169385798455,0.999999999997496,2
"SI - IM",1.86259818188836,0.0965034462431286,2
"I - IM",1.85886648803038,0.09722749937964,2
"E - SE",0.830903561207917,0.712669038542356,3
"E - M",1.45514887997894,0.193898805605698,3
"E - SI",1.50574392374207,0.172024638163872,3
"E - I",1.50935102457793,0.170548430014811,3
"E - IM",3.27442409353708,0.00233615606352555,3
"SE - M",0.62424531877102,0.881936739677955,3
"SE - SI",0.674840362534156,0.847350363923462,3
"SE - I",0.678447463370016,0.844533641515374,3
"SE - IM",2.44352053232916,0.0229430638804327,3
"M - SI",0.0505950437631364,0.999998871655882,3
"M - I",0.0542021445989962,0.999998406780582,3
"M - IM",1.81927521355814,0.105937774701001,3
"SI - I",0.0036071008358598,0.99999999999793,3
"SI - IM",1.768680169795,0.119386789180323,3
"I - IM",1.76507306895914,0.120258750626892,3
"E - SE",0.843434771577869,0.699346873473696,4
"E - M",1.44043471581288,0.197408267200518,4
"E - SI",1.50286243972278,0.169974681047954,4
"E - I",1.51081155860473,0.166733898727884,4
"E - IM",3.32487047080748,0.00209818138423135,4
"SE - M",0.596999944235014,0.899515438018037,4
"SE - SI",0.659427668144907,0.858805963883164,4
"SE - I",0.667376787026859,0.852806149822444,4
"SE - IM",2.48143569922961,0.0215192276660139,4
"M - SI",0.0624277239098934,0.99999679293057,4
"M - I",0.0703768427918454,0.99999415678023,4
"M - IM",1.88443575499459,0.0911755055396581,4
"SI - I",0.00794911888195204,0.999999999889508,4
"SI - IM",1.8220080310847,0.10623723875888,4
"I - IM",1.81405891220275,0.107979637202233,4
"E - SE",1.50310727946191,0.149168373355355,5
"E - M",1.61320064106866,0.111261864326846,5
"E - SI",1.6359330515028,0.104794844757152,5
"E - I",1.64819983155617,0.101466430701022,5
"E - IM",3.52180658654663,0.000759389293165214,5
"SE - M",0.110093361606745,0.999945452346124,5
"SE - SI",0.132825772040892,0.99986140764306,5
"SE - I",0.145092552094254,0.999785409767411,5
"SE - IM",2.01869930708472,0.0515891020256275,5
"M - SI",0.0227324104341469,0.999999977876697,5
"M - I",0.0349991904875084,0.999999807951159,5
"M - IM",1.90860594547797,0.0680728603465098,5
"SI - I",0.0122667800533616,0.999999998970159,5
"SI - IM",1.88587353504383,0.0715114965260472,5
"I - IM",1.87360675499047,0.0734484332735835,5
"E - SE",0.920137445590197,0.638263242526886,10
"E - M",1.00701700716164,0.559457009602095,10
"E - SI",1.35251786613928,0.266472804504992,10
"E - I",1.3673983629089,0.257761222212218,10
"E - IM",3.07407233363556,0.00544641674738144,10
"SE - M",0.0868795615714477,0.99998477830312,10
"SE - SI",0.43238042054908,0.970848244875085,10
"SE - I",0.447260917318705,0.96627102760146,10
"SE - IM",2.15393488804537,0.0567602788721727,10
"M - SI",0.345500858977632,0.988869891185678,10
"M - I",0.360381355747257,0.986495784875087,10
"M - IM",2.06705532647392,0.0698657526449694,10
"SI - I",0.0148804967696243,0.999999997627657,10
"SI - IM",1.72155446749629,0.162332013952873,10
"I - IM",1.70667397072666,0.167036412573546,10
"E - SE",0.815771526129848,0.732368996232301,11
"E - M",0.890821089726122,0.664362461133971,11
"E - SI",1.27075390250195,0.316069576371644,11
"E - I",1.27418847364108,0.31372286660766,11
"E - IM",2.97366478286683,0.00637570595670456,11
"SE - M",0.0750495635962739,0.999992820966568,11
"SE - SI",0.454982376372101,0.965131092779872,11
"SE - I",0.45841694751123,0.964001239477764,11
"SE - IM",2.15789325673698,0.0571809455346034,11
"M - SI",0.379932812775827,0.983709340930793,11
"M - I",0.383367383914956,0.983037268334577,11
"M - IM",2.08284369314071,0.068449833097554,11
"SI - I",0.00343457113912948,0.999999999998554,11
"SI - IM",1.70291088036488,0.170909917822871,11
"I - IM",1.69947630922575,0.172066329635328,11
"E - SE",0.517565514957406,0.94801767484871,12
"E - M",0.844174807152449,0.72140508573818,12
"E - SI",0.86053713572833,0.707014142637927,12
"E - I",0.870424210479151,0.698350428799545,12
"E - IM",2.78688186636225,0.0151680517312039,12
"SE - M",0.326609292195043,0.991702023700501,12
"SE - SI",0.342971620770924,0.989689538779252,12
"SE - I",0.352858695521745,0.988255329093767,12
"SE - IM",2.26931635140484,0.0440155567263035,12
"M - SI",0.016362328575881,0.999999996400796,12
"M - I",0.0262494033267021,0.999999961657144,12
"M - IM",1.9427070592098,0.112283697682047,12
"SI - I",0.00988707475082107,0.999999999708201,12
"SI - IM",1.92634473063392,0.117204319989804,12
"I - IM",1.9164576558831,0.119485324836515,12
"E - SE",1.10245199942215,0.434724131646304,13
"E - M",2.21260019075553,0.0186111385023993,13
"E - SI",2.31727988571683,0.0157656318128941,13
"E - I",2.32571271585303,0.0155962662500512,13
"E - IM",4.47866744493763,0.00052079068861921,13
"SE - M",1.11014819133338,0.38632634978097,13
"SE - SI",1.21482788629468,0.31326566669584,13
"SE - I",1.22326071643087,0.307326198783434,13
"SE - IM",3.37621544551547,0.0021403691216727,13
"M - SI",0.104679694961301,0.999934318569344,13
"M - I",0.113112525097495,0.999903469249457,13
"M - IM",2.2660672541821,0.0164806835917858,13
"SI - I",0.00843283013619356,0.999999999757819,13
"SI - IM",2.16138755922079,0.0182054360882541,13
"I - IM",2.1529547290846,0.018247236058228,13
"E - SE",0.812338804471255,0.736250691662813,14
"E - M",0.861596185474395,0.691982377076486,14
"E - SI",1.28662107859654,0.306557637303227,14
"E - I",1.28662107859656,0.306557637303228,14
"E - IM",2.95513736061634,0.00656524112865853,14
"SE - M",0.0492573810031395,0.999999125091127,14
"SE - SI",0.474282274125287,0.959210531414268,14
"SE - I",0.474282274125305,0.959210531414275,14
"SE - IM",2.14279855614509,0.0588781170386649,14
"M - SI",0.425024893122148,0.973957374892535,14
"M - I",0.425024893122165,0.973957374892541,14
"M - IM",2.09354117514195,0.0657786987993069,14
"SI - I",1.73194791841524e-14,1,14
"SI - IM",1.6685162820198,0.183818630320754,14
"I - IM",1.66851628201978,0.183818630321118,14
"E - SE",1.30866114259616,0.243778468072547,15
"E - M",1.42698062134723,0.179905110710031,15
"E - SI",1.93461097744202,0.034565287007663,15
"E - I",1.93461097744214,0.034565287007621,15
"E - IM",3.71333307952625,0.000338064444331376,15
"SE - M",0.118319478751076,0.999920934338874,15
"SE - SI",0.625949834845861,0.871963153331804,15
"SE - I",0.625949834845981,0.871963153331733,15
"SE - IM",2.40467193693009,0.0153400641877723,15
"M - SI",0.507630356094785,0.940540026988222,15
"M - I",0.507630356094906,0.940540026988181,15
"M - IM",2.28635245817902,0.0203087052335832,15
"SI - I",1.20792265079217e-13,1,15
"SI - IM",1.77872210208423,0.0697629855854053,15
"I - IM",1.77872210208411,0.0697629855856429,15
"E - SE",0.803533073730326,0.74763652947663,16
"E - M",0.880059849267262,0.679338874034886,16
"E - SI",0.901538094653389,0.659839357227445,16
"E - I",0.904590860730606,0.657048785388233,16
"E - IM",2.82688144906503,0.01223888495879,16
"SE - M",0.0765267755369361,0.999992172775599,16
"SE - SI",0.0980050209230624,0.999973212361761,16
"SE - I",0.10105778700028,0.99996879423231,16
"SE - IM",2.0233483753347,0.0936073597026033,16
"M - SI",0.0214782453861263,0.999999985868194,16
"M - I",0.0245310114633438,0.999999972517372,16
"M - IM",1.94682159979777,0.111714913291064,16
"SI - I",0.00305276607721749,0.999999999999269,16
"SI - IM",1.92534335441164,0.117929242682732,16
"I - IM",1.92229058833442,0.11868357702932,16
"E - SE",1.09437746796838,0.443054981509553,17
"E - M",2.18276168194075,0.0197305294724753,17
"E - SI",2.25894598347866,0.0172473507074065,17
"E - I",2.2589459834832,0.0172473507070644,17
"E - IM",4.43158262900508,0.000493528139532406,17
