"node_name","node_id","taxon"
"01PLANT.Ash",1,"Plant"
"01PLANT.Autumn Hawkbit",2,"Plant"
"01PLANT.Bindweed sp",3,"Plant"
"01PLANT.Black Bindweed",4,"Plant"
"01PLANT.Blackthorn",5,"Plant"
"01PLANT.Bluebell",6,"Plant"
"01PLANT.Bramble",7,"Plant"
"01PLANT.Bristly Oxtongue",8,"Plant"
"01PLANT.Bugle",9,"Plant"
"01PLANT.Bush Vetch",10,"Plant"
"01PLANT.Charlock",11,"Plant"
"01PLANT.Chenopodium sp",12,"Plant"
"01PLANT.Cleavers",13,"Plant"
"01PLANT.Clover sp",14,"Plant"
"01PLANT.Common Bird's-foot-trefoil",15,"Plant"
"01PLANT.Common Chickweed",16,"Plant"
"01PLANT.Common Field Speedwell",17,"Plant"
"01PLANT.Common Fleabane",18,"Plant"
"01PLANT.Common Mouse-ear",19,"Plant"
"01PLANT.Common Poppy",20,"Plant"
"01PLANT.Common Vetch",21,"Plant"
"01PLANT.Corn Mint",22,"Plant"
"01PLANT.Corn Sowthistle",23,"Plant"
"01PLANT.Corn Spurrey",24,"Plant"
"01PLANT.Cow Parsley",25,"Plant"
"01PLANT.Creeping Buttercup",26,"Plant"
"01PLANT.Creeping Cinquefoil",27,"Plant"
"01PLANT.Creeping Thistle",28,"Plant"
"01PLANT.Cuckooflower",29,"Plant"
"01PLANT.Cut-leaved Crane's-bill",30,"Plant"
"01PLANT.Daisy",31,"Plant"
"01PLANT.Dandelion",32,"Plant"
"01PLANT.Dock sp",33,"Plant"
"01PLANT.Dog's Mercury",34,"Plant"
"01PLANT.Dogwood",35,"Plant"
"01PLANT.Elder",36,"Plant"
"01PLANT.Elm sp",37,"Plant"
"01PLANT.Field Forget-me-not",38,"Plant"
"01PLANT.Field Madder",39,"Plant"
"01PLANT.Field Maple",40,"Plant"
"01PLANT.Field Pansy",41,"Plant"
"01PLANT.Garlic Mustard",42,"Plant"
"01PLANT.Germander Speedwell",43,"Plant"
"01PLANT.Grass sp",44,"Plant"
"01PLANT.Ground Ivy",45,"Plant"
"01PLANT.Groundsel",46,"Plant"
"01PLANT.Hairy Tare",47,"Plant"
"01PLANT.Hawkish Complex sp",48,"Plant"
"01PLANT.Hawthorn",49,"Plant"
"01PLANT.Hazel",50,"Plant"
"01PLANT.Hedge Woundwort",51,"Plant"
"01PLANT.Herb Bennet",52,"Plant"
"01PLANT.Herb Robert",53,"Plant"
"01PLANT.Hogweed",54,"Plant"
"01PLANT.Honeysuckle",55,"Plant"
"01PLANT.Ivy-leaved Speedwell",56,"Plant"
"01PLANT.Knotgrass sp",57,"Plant"
"01PLANT.Lesser Burdock",58,"Plant"
"01PLANT.Lesser Stitchwort",59,"Plant"
"01PLANT.Lesser Trefoil",60,"Plant"
"01PLANT.Mayweed sp",61,"Plant"
"01PLANT.Meadow Buttercup",62,"Plant"
"01PLANT.Nipplewort",63,"Plant"
"01PLANT.Oak",64,"Plant"
"01PLANT.Oil Seed Rape",65,"Plant"
"01PLANT.Parsley Piert",66,"Plant"
"01PLANT.Persicaria sp",67,"Plant"
"01PLANT.Pineappleweed",68,"Plant"
"01PLANT.Plantain sp",69,"Plant"
"01PLANT.Ragwort",70,"Plant"
"01PLANT.Red Campion",71,"Plant"
"01PLANT.Red Dead-nettle",72,"Plant"
"01PLANT.Rose sp",73,"Plant"
"01PLANT.Rough Chervil",74,"Plant"
"01PLANT.Selfheal",75,"Plant"
"01PLANT.Shepherd's Purse",76,"Plant"
"01PLANT.Sow-thistle sp",77,"Plant"
"01PLANT.Spear Thistle",78,"Plant"
"01PLANT.Spindle",79,"Plant"
"01PLANT.Stinging Nettle",80,"Plant"
"01PLANT.Sun Spurge",81,"Plant"
"01PLANT.Sycamore",82,"Plant"
"01PLANT.Teasel",83,"Plant"
"01PLANT.Traveller's Joy",84,"Plant"
"01PLANT.Upright Hedge-parsley",85,"Plant"
"01PLANT.Wall Speedwell",86,"Plant"
"01PLANT.Water Figwort",87,"Plant"
"01PLANT.Wayfaring-tree",88,"Plant"
"01PLANT.White Dead-nettle",89,"Plant"
"01PLANT.Wild Privet",90,"Plant"
"01PLANT.Willowherb sp",91,"Plant"
"01PLANT.Woodruff",92,"Plant"
"01PLANT.Yellow Archangel",93,"Plant"
"01PLANT.zCROP Barley",94,"Crop"
"01PLANT.zCROP Lucerne",95,"Crop"
"01PLANT.zCROP Oat spring",96,"Crop"
"01PLANT.zCROP Oat winter",97,"Crop"
"01PLANT.zCROP Triticale",98,"Crop"
"01PLANT.zCROP Wheat",99,"Crop"
"02FV.Andrena dorsata",100,"Flower-visiting"
"02FV.Andrena minutula",101,"Flower-visiting"
"02FV.Apis mellifera",102,"Flower-visiting"
"02FV.Baccha elongate",103,"Flower-visiting"
"02FV.Bombus hortorum",104,"Flower-visiting"
"02FV.Bombus lapidarius",105,"Flower-visiting"
"02FV.Bombus pascuorum",106,"Flower-visiting"
"02FV.Bombus pratorum",107,"Flower-visiting"
"02FV.Bombus terrestris",108,"Flower-visiting"
"02FV.Bombus vestalis",109,"Flower-visiting"
"02FV.Cheilosia albitarsis",110,"Flower-visiting"
"02FV.Cheilosia honesta",111,"Flower-visiting"
"02FV.Cheilosia illustrata",112,"Flower-visiting"
"02FV.Cheilosia pagana",113,"Flower-visiting"
"02FV.Cheilosia proxima",114,"Flower-visiting"
"02FV.Cheilosia proxima group sp. D",115,"Flower-visiting"
"02FV.Chrysotoxum bicinctum",116,"Flower-visiting"
"02FV.Episyrphus balteatus",117,"Flower-visiting"
"02FV.Eristalis arbustorum",118,"Flower-visiting"
"02FV.Eristalis pertinax",119,"Flower-visiting"
"02FV.Eristalis tenax",120,"Flower-visiting"
"02FV.Eupeodes corollae",121,"Flower-visiting"
"02FV.Eupeodes luniger",122,"Flower-visiting"
"02FV.Helophilus pendulus",123,"Flower-visiting"
"02FV.Helophilus trivittatus",124,"Flower-visiting"
"02FV.Hylaeus communis",125,"Flower-visiting"
"02FV.Hylaeus hyalinatus",126,"Flower-visiting"
"02FV.Lasioglossum sp",127,"Flower-visiting"
"02FV.Maniola jurtina",128,"Flower-visiting"
"02FV.Melangyna sp",129,"Flower-visiting"
"02FV.Melanostoma mellinum",130,"Flower-visiting"
"02FV.Melanostoma scalare",131,"Flower-visiting"
"02FV.Melanostoma sp",132,"Flower-visiting"
"02FV.Metasyrphus luniger",133,"Flower-visiting"
"02FV.Neoascia podagrica",134,"Flower-visiting"
"02FV.Pieris brassicae",135,"Flower-visiting"
"02FV.Pipiza noctiluca",136,"Flower-visiting"
"02FV.Platycheirus albimanus",137,"Flower-visiting"
"02FV.Platycheirus clypeatus",138,"Flower-visiting"
"02FV.Platycheirus manicatus",139,"Flower-visiting"
"02FV.Platycheirus nielseni",140,"Flower-visiting"
"02FV.Platycheirus peltatus",141,"Flower-visiting"
"02FV.Platycheirus scutatus",142,"Flower-visiting"
"02FV.Platycheirus sp",143,"Flower-visiting"
"02FV.Polyommatus icarus",144,"Flower-visiting"
"02FV.Pyronia tithonus",145,"Flower-visiting"
"02FV.Rhingia campestris",146,"Flower-visiting"
"02FV.Sphaerophoria menthastri",147,"Flower-visiting"
"02FV.Sphaerophoria rueppellii",148,"Flower-visiting"
"02FV.Sphaerophoria scripta",149,"Flower-visiting"
"02FV.Sphaerophoria sp",150,"Flower-visiting"
"02FV.Syritta pipiens",151,"Flower-visiting"
"02FV.Syrphus ribesii",152,"Flower-visiting"
"02FV.Volucella bombylans",153,"Flower-visiting"
"03APH.Acyrthosiphon pisum",154,"Aphid"
"03APH.Aphid species 1",155,"Aphid"
"03APH.Aphis fabae",156,"Aphid"
"03APH.Aphis galiiscabri",157,"Aphid"
"03APH.Aphis rumicis",158,"Aphid"
"03APH.Aphis urticae",159,"Aphid"
"03APH.Brachycaudus helichrysii",160,"Aphid"
"03APH.Capitophorus elaeagnii",161,"Aphid"
"03APH.Cavariella aegopodii",162,"Aphid"
"03APH.Cryptomyzus korschelti",163,"Aphid"
"03APH.Dysaphis species 1",164,"Aphid"
"03APH.Hyperomyzus lactucae",165,"Aphid"
"03APH.Lipaphys erysimi",166,"Aphid"
"03APH.Macrosiphum funestum",167,"Aphid"
"03APH.Metopolophium dihrodum",168,"Aphid"
"03APH.Microlophium carnosum",169,"Aphid"
"03APH.Myzocallis coryli",170,"Aphid"
"03APH.Myzus persicae",171,"Aphid"
"03APH.Nasonvoia ribisnigri",172,"Aphid"
"03APH.Phorodon humuli",173,"Aphid"
"03APH.Sipha maydis",174,"Aphid"
"03APH.Sitobion avenae",175,"Aphid"
"03APH.Sitobion fragariae",176,"Aphid"
"03APH.Therioaphis trifoli",177,"Aphid"
"03APH.Tubaphis ranunculina",178,"Aphid"
"03APH.Uroleucon aeneum",179,"Aphid"
"03APH.Uroleucon cirsii",180,"Aphid"
"03APH.Uroleucon sonchi",181,"Aphid"
"04PRIMARYPARA.Aphidius ervi",182,"Primary aphid parasitoid"
"04PRIMARYPARA.Aphidius funebris",183,"Primary aphid parasitoid"
"04PRIMARYPARA.Aphidius matricariae",184,"Primary aphid parasitoid"
"04PRIMARYPARA.Aphidius picipes?",185,"Primary aphid parasitoid"
"04PRIMARYPARA.Aphidius rhopalosiphi?",186,"Primary aphid parasitoid"
"04PRIMARYPARA.Ephedrus plagiator",187,"Primary aphid parasitoid"
"04PRIMARYPARA.Praon dorsale?",188,"Primary aphid parasitoid"
"04PRIMARYPARA.Praon exoletum?",189,"Primary aphid parasitoid"
"04PRIMARYPARA.Praon sp nr flavinode",190,"Primary aphid parasitoid"
"04PRIMARYPARA.Praon volucre",191,"Primary aphid parasitoid"
"04PRIMARYPARA.Trioxys B",192,"Primary aphid parasitoid"
"05SECONDARYPARA.Alloxysta victrix",193,"Secondary aphid parasitoid"
"05SECONDARYPARA.Asaphes suspensus",194,"Secondary aphid parasitoid"
"05SECONDARYPARA.Asaphes vulgaris",195,"Secondary aphid parasitoid"
"05SECONDARYPARA.Coruna clavata",196,"Secondary aphid parasitoid"
"05SECONDARYPARA.Dendrocerus aphidum",197,"Secondary aphid parasitoid"
"05SECONDARYPARA.Dendrocerus carpenteri",198,"Secondary aphid parasitoid"
"05SECONDARYPARA.Pachyneuron sp",199,"Secondary aphid parasitoid"
"06MINERPARA.Achrysocharoides acerianus",200,"Leaf-miner parasitoid"
"06MINERPARA.Achrysocharoides atys",201,"Leaf-miner parasitoid"
"06MINERPARA.Achrysocharoides butus",202,"Leaf-miner parasitoid"
"06MINERPARA.Achrysocharoides latreillei",203,"Leaf-miner parasitoid"
"06MINERPARA.Adelius sp",204,"Leaf-miner parasitoid"
"06MINERPARA.Adelurola florimela",205,"Leaf-miner parasitoid"
"06MINERPARA.Alysiinae sp",206,"Leaf-miner parasitoid"
"06MINERPARA.Anagrus sp A",207,"Leaf-miner parasitoid"
"06MINERPARA.Anagrus sp B",208,"Leaf-miner parasitoid"
"06MINERPARA.Anagrus sp C",209,"Leaf-miner parasitoid"
"06MINERPARA.Apanteles circumscriptus",210,"Leaf-miner parasitoid"
"06MINERPARA.Aphanogmus microneurus",211,"Leaf-miner parasitoid"
"06MINERPARA.Aphanogmus sp",212,"Leaf-miner parasitoid"
"06MINERPARA.Apodesmia A",213,"Leaf-miner parasitoid"
"06MINERPARA.Apodesmia curvata",214,"Leaf-miner parasitoid"
"06MINERPARA.Apodesmia irregularis",215,"Leaf-miner parasitoid"
"06MINERPARA.Apodesmia ocellata",216,"Leaf-miner parasitoid"
"06MINERPARA.Apodesmia rufipes",217,"Leaf-miner parasitoid"
"06MINERPARA.Apodesmia similis",218,"Leaf-miner parasitoid"
"06MINERPARA.Asaphes suspensus",219,"Leaf-miner parasitoid"
"06MINERPARA.Ascogaster varipes",220,"Leaf-miner parasitoid"
