"habitat","lower","upper"
"CP","01PLANT.Charlock","02FV.Tetramesa sp"
"CP","01PLANT.Charlock","02FV.Andrena dorsata"
"CP","01PLANT.Sow-thistle sp","02FV.Sphaerophoria scripta"
"CP","01PLANT.Sow-thistle sp","02FV.Helophilus pendulus"
"CP","01PLANT.Sow-thistle sp","02FV.Pegoplata aestiva or Adia cinerella"
"CP","01PLANT.Spear Thistle","02FV.Bombus lapidarius"
"CP","01PLANT.Spear Thistle","02FV.Sepsis fulgens"
"CP","01PLANT.Creeping Buttercup","02FV.Episyrphus balteatus"
"CP","01PLANT.Charlock","02FV.Empis livida"
"CP","01PLANT.Charlock","02FV.Delia sp"
"CP","01PLANT.Charlock","02FV.Cephus pygmaeus"
"CP","01PLANT.Common Poppy","02FV.Bombus lapidarius"
"CP","01PLANT.Hairy Tare","02FV.Empis livida"
"CP","01PLANT.Common Poppy","02FV.Bombus terrestris"
"CP","01PLANT.Mayweed sp","02FV.Empis livida"
"CP","01PLANT.Hairy Tare","02FV.Fannia sp"
"CP","01PLANT.Shepherd's Purse","02FV.Empis livida"
"CP","01PLANT.Creeping Buttercup","02FV.Desmometopa sp"
"CP","01PLANT.Creeping Buttercup","02FV.Malachius bipustulatus"
"CP","01PLANT.Creeping Buttercup","02FV.Sphaerophoria sp"
"CP","01PLANT.Shepherd's Purse","02FV.Platycheirus albimanus"
"CP","01PLANT.Creeping Buttercup","02FV.Empis livida"
"CP","01PLANT.Creeping Buttercup","02FV.Cheilosia albitarsis"
"CP","01PLANT.Field Forget-me-not","02FV.Empis livida"
"CP","01PLANT.Creeping Buttercup","02FV.Glyphipterix simpliciella"
"CP","01PLANT.Shepherd's Purse","02FV.Syritta pipiens"
"CP","01PLANT.Mayweed sp","02FV.Botanophila fugax"
"CP","01PLANT.Mayweed sp","02FV.Phasia obesa"
"CP","01PLANT.Mayweed sp","02FV.Neomyia cornicina"
"CP","01PLANT.Mayweed sp","02FV.Scathophaga stercoraria"
"CP","01PLANT.Mayweed sp","02FV.Delia sp"
"CP","01PLANT.Common Poppy","02FV.Platycheirus nielseni"
"CP","01PLANT.Mayweed sp","02FV.Platycheirus manicatus"
"CP","01PLANT.Common Poppy","02FV.Delia sp"
"CP","01PLANT.Mayweed sp","02FV.Oedemera lurida"
"CP","01PLANT.Mayweed sp","02FV.Eupeodes corollae"
"CP","01PLANT.Mayweed sp","02FV.Sphaerophoria sp"
"CP","01PLANT.Mayweed sp","02FV.Eristalis arbustorum"
"CP","01PLANT.Mayweed sp","02FV.Platycheirus sp"
"CP","01PLANT.Mayweed sp","02FV.Helophilus trivittatus"
"CP","01PLANT.Mayweed sp","02FV.Gastrophysa viridular"
"CP","01PLANT.Creeping Thistle","02FV.Bracon sp"
"CP","01PLANT.Mayweed sp","02FV.Pegoplata aestiva or Adia cinerella"
"CP","01PLANT.Mayweed sp","02FV.Sphaerophoria scripta"
"CP","01PLANT.Creeping Thistle","02FV.Neomyia cornicina"
"CP","01PLANT.Charlock","02FV.Pegoplata aestiva or Adia cinerella"
"CP","01PLANT.Mayweed sp","02FV.Cantharis nigra"
"CP","01PLANT.Meadow Buttercup","02FV.Pegoplata aestiva or Adia cinerella"
"CP","01PLANT.Mayweed sp","02FV.Oedemera nobilis"
"CP","01PLANT.Creeping Buttercup","02FV.Melanostoma mellinum"
"CP","01PLANT.Hairy Tare","02FV.Cantharis nigra"
"GM","01PLANT.Creeping Buttercup","02FV.Oedemera nobilis"
"GM","01PLANT.Creeping Buttercup","02FV.Empis livida"
"GM","01PLANT.Creeping Buttercup","02FV.Scathophaga stercoraria"
"GM","01PLANT.Creeping Buttercup","02FV.Malachius bipustulatus"
"GM","01PLANT.Creeping Buttercup","02FV.Cheilosia albitarsis"
"GM","01PLANT.Creeping Buttercup","02FV.Glyphipterix simpliciella"
"GM","01PLANT.Bindweed sp","02FV.Platycheirus albimanus"
"GM","01PLANT.Bindweed sp","02FV.Sphaerophoria sp"
"GM","01PLANT.Clover sp","02FV.Norellisoma spinimanum"
"GM","01PLANT.Bindweed sp","02FV.Bombus pascuorum"
"GM","01PLANT.Clover sp","02FV.Bombus pascuorum"
"GM","01PLANT.Clover sp","02FV.Syrphus ribesii"
"GM","01PLANT.Creeping Buttercup","02FV.Sphaerophoria sp"
"GM","01PLANT.Creeping Buttercup","02FV.Oscinella nitidissima"
"GM","01PLANT.Creeping Buttercup","02FV.Bracon sp"
"GM","01PLANT.Creeping Buttercup","02FV.Alysiinae sp"
"GM","01PLANT.Creeping Buttercup","02FV.Megaselia sp"
"GM","01PLANT.Cow Parsley","02FV.Scathophaga stercoraria"
"GM","01PLANT.Cow Parsley","02FV.Dacnusa (maculipes)"
"GM","01PLANT.Cow Parsley","02FV.Dicraeus tibialis"
"GM","01PLANT.Cow Parsley","02FV.Chlorops hypostigma"
"GM","01PLANT.Cow Parsley","02FV.Chlorops pumilionis"
"GM","01PLANT.Cow Parsley","02FV.Platypalpus sp"
"GM","01PLANT.Creeping Buttercup","02FV.Formicidae B"
"GM","01PLANT.Cow Parsley","02FV.Oscinella cariciphila"
