"management","services","tot","Extensive_tot","ratio_change","amount_shuff_mean","amount_shuff_sd","n","z","signif"
"I","Bird watching",1018.7036637931,2076,0.490705040362767,1.31422178337001,0.0380885549353411,500,-21.6211075585629,"below"
"I","Butterfly watching",7924.32650862069,6903,1.14795400675369,1.18326290847449,0.153156245230786,500,-0.230541703784898,"not signif"
"IN","Bird watching",1018.7036637931,2076,0.490705040362767,1.31422178337001,0.0380885549353411,500,-21.6211075585629,"below"
"IN","Butterfly watching",1003.62176724138,6903,0.145389217331795,0.151200873004599,0.00486851996791436,500,-1.19372123583872,"not signif"
"M","Bird watching",1604.05818965517,2076,0.77266772141386,1.02427818064953,0.0147736423487595,500,-17.0310376612575,"below"
"M","Butterfly watching",6798.77392347033,6903,0.984901336153895,0.973824321502715,0.0301009017795014,500,0.367996106306789,"not signif"
"SE","Bird watching",2050.66810344828,2076,0.987797737691848,1.01391794429213,0.00307482645348209,500,-8.49485556191544,"below"
"SE","Butterfly watching",6914.34376966264,6903,1.00164331010613,1.01665869900984,0.00549489222308446,500,-2.73260844691864,"below"
"SI","Bird watching",1120.32435344828,2076,0.539655276227493,1.13434835634856,0.0282903527858371,500,-21.0210556447633,"below"
"SI","Butterfly watching",6556.11406786437,6903,0.949748524969487,0.991320284899568,0.0948076357133101,500,-0.438485356346089,"not signif"
"I","Crop damage",760115.074551902,711450.9469,1.0684012409625,1.81821998269122,0.0559213169785864,500,-13.4084599977474,"below"
"I","Crop production",608012.7,209300,2.904982,2.901569,0.0072251119,500,0.472303,"not signif"
"I","Pest control",9154.0499332906,7108.3167,1.28779432876008,1.56946441062956,0.0827699615401925,500,-3.403047151746,"below"
"I","Pollination",59573.8284473404,36736.7426,1.62164155641117,1.57481046074664,0.120635335243056,500,0.388203800902695,"not signif"
"I","Seed dispersal",269805.528706897,362197.49,0.744912751070961,1.47742029289267,0.0369181326608441,500,-19.8414028290931,"below"
"IN","Crop damage",760115.074551902,711450.9469,1.0684012409625,1.817822128512,0.0559071246990568,500,-13.4047474554195,"below"
"IN","Crop production",608012.7,209300,2.904982,2.901569,0.0072251119,500,0.472303,"not signif"
"IN","Pest control",9154.0499332906,7108.3167,1.28779432876008,1.56945922723508,0.0827696844530144,500,-3.40299591977887,"below"
"IN","Pollination",19761.635593942,36736.7426,0.537925635081811,0.578472565056418,0.0356893403591259,500,-1.13610757628472,"not signif"
"IN","Seed dispersal",269805.528706897,362197.49,0.744912751070961,1.47742029289267,0.0369181326608441,500,-19.8414028290931,"below"
"M","Crop damage",737907.708634326,711450.9469,1.03718704971805,1.24945891259576,0.0146955268827348,500,-14.4446581991626,"below"
"M","Crop production",247031.2,209300,1.180274,1.178941,0.0023825097,500,0.5593576,"not signif"
"M","Pest control",7378.6865473627,7108.3167,1.03803570645111,1.04766111168845,0.00566087619133001,500,-1.70033841264499,"not signif"
"M","Pollination",38185.0898157035,36736.7426,1.03942503099618,1.03491714512564,0.0122051443421258,500,0.369343101905982,"not signif"
"M","Seed dispersal",288684.302392241,362197.49,0.79703562383119,1.03625410977283,0.0200114476048088,500,-11.9540820167428,"below"
"SE","Crop damage",849890.283787864,711450.9469,1.19458732536809,1.22714981569727,0.00553399922270016,500,-5.88407931024074,"below"
"SE","Crop production",229224.6,209300,1.095196,1.094905,0.0009779414,500,0.2982545,"not signif"
"SE","Pest control",7227.70358675509,7108.3167,1.01679538093106,1.02757936948884,0.00461280420443228,500,-2.33783791374065,"below"
"SE","Pollination",37612.4322640163,36736.7426,1.0238368892297,1.02570406217389,0.00891055979518942,500,-0.2095460876877,"not signif"
"SE","Seed dispersal",352392.214956897,362197.49,0.972928373846259,1.01987761732035,0.00766704290101965,500,-6.12351386058428,"below"
"SI","Crop damage",595956.867695306,711450.9469,0.837664030516882,1.43498386496669,0.0521156415317413,500,-11.4614310961904,"below"
"SI","Crop production",385405.9,209300,1.841404,1.839133,0.0047084423,500,0.4823044,"not signif"
"SI","Pest control",7474.63750110809,7108.3167,1.05153411371051,1.22761868364518,0.0556474861812942,500,-3.16428615231617,"below"
"SI","Pollination",46971.1209939113,36736.7426,1.27858698593248,1.24572129833461,0.0527431659194099,500,0.623126940238775,"not signif"
"SI","Seed dispersal",242730.917424569,362197.49,0.670161787771001,1.20534394646254,0.0293539301977169,500,-18.2320444004178,"below"
